coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;removed_bucket;n_controls;removed_n
-0.023309;0.004083;-0.0093784;0.00164287;-0.9378;-2.3309;0.0;***;715753;2.485363;NONE_baseline_full;146;
0.048759;0.003669;0.01957756;0.00147328;1.9578;4.8759;0.0;***;869902;2.49054;REDUCED_reference;31;
-0.039389;0.004111;-0.01584829;0.00165409;-1.5848;-3.9389;0.0;***;715753;2.485363;01_d_ori_gov;143;3.0
-0.022387;0.004083;-0.00900758;0.00164294;-0.9008;-2.2387;0.0;***;715753;2.485363;02_d_ori_part;140;6.0
-0.001107;0.003854;-0.00044539;0.00155054;-0.0445;-0.1107;0.773921;;715753;2.485363;03_d_ori_mai;142;4.0
-0.020005;0.004181;-0.00804901;0.00168239;-0.8049;-2.0005;2e-06;***;715753;2.485363;04_d_ori_min;141;5.0
-0.025954;0.004123;-0.01044259;0.00165898;-1.0443;-2.5954;0.0;***;715753;2.485363;05_d_ori_op;141;5.0
-0.022616;0.004082;-0.00909964;0.00164258;-0.91;-2.2616;0.0;***;715753;2.485363;06_d_ori_bancada;140;6.0
-0.023619;0.004283;-0.0095031;0.00172327;-0.9503;-2.3619;0.0;***;715753;2.485363;07_d_tipoVotacao;114;32.0
-0.018265;0.004066;-0.00734894;0.00163612;-0.7349;-1.8265;7e-06;***;715753;2.485363;08_d_tema;127;19.0
-0.023467;0.004105;-0.00944216;0.00165187;-0.9442;-2.3467;0.0;***;715753;2.485363;09_tipoAutor;139;7.0
-0.023681;0.004082;-0.009528;0.00164255;-0.9528;-2.3681;0.0;***;715753;2.485363;11_d_escolaridade;141;5.0
-0.02557;0.004077;-0.01028834;0.0016406;-1.0288;-2.557;0.0;***;715753;2.485363;12_d_uf_reg;139;7.0
-0.022835;0.004083;-0.00918764;0.00164278;-0.9188;-2.2835;0.0;***;715753;2.485363;13_d_part;144;2.0
-0.001622;0.004427;-0.0006525;0.00178139;-0.0652;-0.1622;0.714152;;715753;2.485363;14_d_demograficas;140;6.0
-0.020641;0.004013;-0.00830515;0.00161453;-0.8305;-2.0641;0.0;***;715753;2.485363;16_d_N_part_leg;128;18.0
-0.022639;0.004084;-0.00910905;0.00164305;-0.9109;-2.2639;0.0;***;715753;2.485363;17_idade;144;2.0
0.008724;0.002752;0.00351021;0.00110727;0.351;0.8724;0.001524;***;715753;2.485363;19_election;144;2.0
-0.017695;0.004052;-0.00711953;0.00163041;-0.712;-1.7695;1.3e-05;***;715753;2.485363;20_n_aggregates;139;7.0
-0.029738;0.004115;-0.01196536;0.00165551;-1.1965;-2.9738;0.0;***;715753;2.485363;21_pct_aggregates;143;3.0
-0.02253;0.004083;-0.00906493;0.00164277;-0.9065;-2.253;0.0;***;715753;2.485363;22_tamanho;145;1.0
-0.048701;0.003996;-0.01955436;0.00160437;-1.9554;-4.8701;0.0;***;869902;2.49054;23_vote_outcome;142;4.0
-0.031122;0.004125;-0.01252231;0.00165953;-1.2522;-3.1122;0.0;***;715753;2.485363;24_polarization;144;2.0
