bucket;control;corr_T;corr_Y;max_abs_corr_Z;corr_iv_fiscal_q4;corr_iv_fiscal_pressure;corr_iv_q4_no_ytd;corr_iv_ytd_exec_pct
20_n_aggregates;n_votes_dep;0.0909;-0.0038;0.2826;0.0;0.0876;-0.0692;0.2826
21_pct_aggregates;pct_frentes;-0.0587;-0.0394;0.2576;0.0066;-0.0755;0.049;-0.2576
03_d_ori_mai;d_ori_mai;0.1185;0.0318;0.2567;-0.1008;-0.0968;-0.0973;0.2567
19_election;d_elec_municipal;0.098;0.0227;0.2512;0.166;0.2512;-0.0625;0.0553
21_pct_aggregates;pct_orgaos;-0.0563;-0.0223;0.2396;0.0089;-0.0654;0.0493;-0.2396
09_tipoAutor;tipoAutor_COMISSÃO DIRETORA;-0.078;-0.0297;0.1779;-0.0666;-0.0581;-0.0239;-0.1779
07_d_tipoVotacao;d_tipoVotacao_meta_DEC;-0.078;-0.0297;0.1779;-0.0666;-0.0581;-0.0239;-0.1779
19_election;d_elec_federal;0.2209;-0.0013;0.1655;-0.1546;-0.1521;-0.1004;0.1655
07_d_tipoVotacao;d_tipoVotacao_meta_PEP;0.1158;-0.0237;0.1586;0.0072;0.0522;-0.0436;0.1586
03_d_ori_mai;d_ori_mai_nao;0.0719;-0.0075;0.1504;-0.0617;-0.051;-0.0554;0.1504
07_d_tipoVotacao;d_tipoVotacao_meta_REQ;-0.0664;0.0043;0.1461;0.0348;-0.0317;0.0574;-0.1461
05_d_ori_op;d_ori_op;0.118;0.0046;0.1418;-0.0867;-0.0309;-0.0465;0.1418
07_d_tipoVotacao;d_tipoVotacao_meta_MSC;-0.069;-0.0381;0.1397;0.0954;-0.0189;0.1193;-0.1397
09_tipoAutor;tipoAutor_Órgão do Poder Executivo;-0.069;-0.0381;0.1397;0.0954;-0.0189;0.1193;-0.1397
08_d_tema;d_tema_RICE;-0.006;-0.0114;0.1373;0.0671;0.1373;-0.0015;0.0301
02_d_ori_part;d_ori_part;0.0496;-0.0933;0.1353;-0.0126;0.0344;-0.0572;0.1353
06_d_ori_bancada;d_ori_bancada;0.0496;-0.0933;0.1353;-0.0126;0.0344;-0.0572;0.1353
03_d_ori_mai;d_ori_mai_sim;0.0481;0.0477;0.1245;-0.048;-0.0543;-0.0513;0.1245
24_polarization;pol_simple;0.0406;-0.1438;0.1222;-0.0228;-0.055;-0.0391;0.1222
07_d_tipoVotacao;d_tipoVotacao_PLP;-0.0069;0.0321;0.1191;0.0792;0.1191;-0.032;0.06
21_pct_aggregates;pct_proposicoes;-0.0176;-0.1395;0.1134;0.0066;-0.04;-0.0083;-0.1134
07_d_tipoVotacao;d_tipoVotacao_meta_PSS;-0.063;-0.0002;0.1114;-0.068;-0.0451;-0.0276;0.1114
24_polarization;pol_jaccard;0.0365;-0.1495;0.1096;-0.0468;-0.1096;-0.0192;0.0712
23_vote_outcome;votosOutros;-0.0405;-0.0066;0.1088;-0.028;-0.0783;0.0606;-0.1088
07_d_tipoVotacao;d_tipoVotacao_MPV;-0.0031;-0.0327;0.1082;-0.1082;-0.0987;-0.0057;-0.055
20_n_aggregates;n_orgaos;-0.0158;-0.0125;0.0982;0.0098;-0.0118;0.0205;-0.0982
05_d_ori_op;d_ori_op_sim;0.0941;0.0036;0.0951;-0.0366;-0.0213;-0.0085;0.0951
05_d_ori_op;d_ori_op_nao;0.025;-0.0168;0.094;-0.0413;-0.0162;-0.0418;0.094
23_vote_outcome;aprovacao;-0.0337;0.0535;0.0882;0.0226;-0.0145;0.041;-0.0882
16_d_N_part_leg;d_3_leg;0.0404;-0.0967;0.0849;-0.002;-0.0202;-0.0849;0.0572
04_d_ori_min;d_ori_min_liberado;-0.0435;0.0298;0.0827;0.0174;0.0827;-0.0321;0.0107
02_d_ori_part;d_ori_part_nao;0.0196;0.0176;0.0825;0.0012;0.0396;-0.0313;0.0825
