coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;group;model;iv_set
0.002542;0.000801;0.00110852;0.00034923;0.1109;0.2542;0.001503;***;224309;2.293586;all_oposicao;PLR;none
-0.045632;0.008542;-0.01989551;0.00372413;-1.9896;-4.5632;0.0;***;224309;2.293586;all_oposicao;PLIV;backlog
-0.00115;0.000459;-0.00043859;0.0001749;-0.0439;-0.115;0.012154;**;424072;2.622425;all_coalizao;PLR;none
-0.025441;0.003903;-0.00970143;0.00148823;-0.9701;-2.5441;0.0;***;424072;2.622425;all_coalizao;PLIV;backlog
-0.004838;0.000745;-0.00199765;0.00030751;-0.1998;-0.4838;0.0;***;221521;2.421794;all_independente;PLR;none
-0.036516;0.005602;-0.01507797;0.00231328;-1.5078;-3.6516;0.0;***;221521;2.421794;all_independente;PLIV;backlog
0.016416;0.001629;0.00822736;0.00081618;0.8227;1.6416;0.0;***;45524;1.995334;leg55_oposicao;PLR;none
0.135477;0.008182;0.06789714;0.0041004;6.7897;13.5477;0.0;***;45524;1.995334;leg55_oposicao;PLIV;backlog
0.005705;0.00074;0.0023215;0.00030119;0.2322;0.5705;0.0;***;146858;2.457273;leg55_coalizao;PLR;none
0.018435;0.002816;0.00750237;0.00114613;0.7502;1.8435;0.0;***;146858;2.457273;leg55_coalizao;PLIV;backlog
-0.008036;0.002259;-0.00282983;0.00079557;-0.283;-0.8036;0.000375;***;33926;2.839725;leg55_independente;PLR;none
0.012362;0.010537;0.00435314;0.00371065;0.4353;1.2362;0.240737;;33926;2.839725;leg55_independente;PLIV;backlog
-0.003183;0.000851;-0.00136154;0.00036417;-0.1362;-0.3183;0.000185;***;178785;2.337489;leg56_oposicao;PLR;none
-0.076515;0.007184;-0.03273367;0.00307353;-3.2734;-7.6515;0.0;***;178785;2.337489;leg56_oposicao;PLIV;backlog
-0.005421;0.000541;-0.00201554;0.00020111;-0.2016;-0.5421;0.0;***;277214;2.689668;leg56_coalizao;PLR;none
-0.036491;0.003714;-0.01356709;0.00138094;-1.3567;-3.6491;0.0;***;277214;2.689668;leg56_coalizao;PLIV;backlog
-0.004787;0.00078;-0.0020474;0.00033352;-0.2047;-0.4787;0.0;***;187595;2.33823;leg56_independente;PLR;none
-0.022632;0.005179;-0.00967891;0.00221505;-0.9679;-2.2632;1.2e-05;***;187595;2.33823;leg56_independente;PLIV;backlog
-0.001869;0.000453;-0.00091192;0.00022104;-0.0912;-0.1869;3.7e-05;***;682764;2.049976;all_nao_eleicao;PLR;none
-0.012773;0.003527;-0.00623098;0.0017205;-0.6231;-1.2773;0.000293;***;682764;2.049976;all_nao_eleicao;PLIV;backlog
0.001096;0.00078;0.0003152;0.00022424;0.0315;0.1096;0.159827;;187138;3.477701;all_eleicao_federal;PLR;none
-0.043607;0.015515;-0.01253905;0.0044612;-1.2539;-4.3607;0.004944;***;187138;3.477701;all_eleicao_federal;PLIV;backlog
0.007373;0.000776;0.00440542;0.00046368;0.4405;0.7373;0.0;***;193023;1.673672;leg55_nao_eleicao;PLR;none
0.026708;0.003917;0.01595749;0.00234054;1.5957;2.6708;0.0;***;193023;1.673672;leg55_nao_eleicao;PLIV;backlog
-0.003919;0.001997;-0.00097016;0.00049435;-0.097;-0.3919;0.049705;**;33285;4.03977;leg55_eleicao_federal;PLR;none
0.02268;0.015747;0.00561421;0.00389801;0.5614;2.268;0.149789;;33285;4.03977;leg55_eleicao_federal;PLIV;backlog
-0.005288;0.000506;-0.00246051;0.00023566;-0.2461;-0.5288;0.0;***;489741;2.14917;leg56_nao_eleicao;PLR;none
-0.034081;0.003136;-0.01585781;0.0014593;-1.5858;-3.4081;0.0;***;489741;2.14917;leg56_nao_eleicao;PLIV;backlog
0.004234;0.000868;0.00128945;0.0002642;0.1289;0.4234;1e-06;***;153853;3.283666;leg56_eleicao_federal;PLR;none
-0.042942;0.015605;-0.01307746;0.00475245;-1.3077;-4.2942;0.005928;***;153853;3.283666;leg56_eleicao_federal;PLIV;backlog
-0.003182;0.000899;-0.00150381;0.000425;-0.1504;-0.3182;0.000403;***;140303;2.115732;all_PEC;PLR;none
-0.00379;0.004857;-0.00179111;0.00229547;-0.1791;-0.379;0.435227;;140303;2.115732;all_PEC;PLIV;backlog
8.2e-05;0.000658;3.416e-05;0.00027266;0.0034;0.0082;0.900292;;310464;2.411878;all_MPV;PLR;none
0.032264;0.007518;0.01337722;0.00311687;1.3377;3.2264;1.8e-05;***;310464;2.411878;all_MPV;PLIV;backlog
0.008229;0.001151;0.00333609;0.00046656;0.3336;0.8229;0.0;***;104997;2.466806;all_PLP;PLR;none
-0.146739;0.010984;-0.05948559;0.0044528;-5.9486;-14.6739;0.0;***;104997;2.466806;all_PLP;PLIV;backlog
0.004241;0.000655;0.00153844;0.00023757;0.1538;0.4241;0.0;***;290935;2.756611;all_PL;PLR;none
-0.030297;0.004666;-0.01099053;0.00169275;-1.0991;-3.0297;0.0;***;290935;2.756611;all_PL;PLIV;backlog
0.001876;0.001756;0.00115232;0.00107867;0.1152;0.1876;0.285394;;36143;1.627903;leg55_PEC;PLR;none
0.078136;0.006521;0.04799803;0.00400568;4.7998;7.8136;0.0;***;36143;1.627903;leg55_PEC;PLIV;backlog
0.008085;0.00111;0.00410406;0.00056326;0.4104;0.8085;0.0;***;89431;1.970027;leg55_MPV;PLR;none
-0.019288;0.005643;-0.00979087;0.00286467;-0.9791;-1.9288;0.000631;***;89431;1.970027;leg55_MPV;PLIV;backlog
0.004417;0.001855;0.00266641;0.00111949;0.2666;0.4417;0.017228;**;31438;1.656705;leg55_PLP;PLR;none
0.27689;0.023857;0.16713277;0.01440051;16.7133;27.689;0.0;***;31438;1.656705;leg55_PLP;PLIV;backlog
0.005835;0.001399;0.00168577;0.00040407;0.1686;0.5835;3e-05;***;61729;3.461464;leg55_PL;PLR;none
0.004774;0.008156;0.00137911;0.00235617;0.1379;0.4774;0.558333;;61729;3.461464;leg55_PL;PLIV;backlog
-0.009565;0.001031;-0.00429352;0.00046291;-0.4294;-0.9565;0.0;***;104160;2.227783;leg56_PEC;PLR;none
-0.059074;0.006541;-0.02651695;0.00293609;-2.6517;-5.9074;0.0;***;104160;2.227783;leg56_PEC;PLIV;backlog
-0.002659;0.000717;-0.00104257;0.00028112;-0.1043;-0.2659;0.000208;***;221033;2.550781;leg56_MPV;PLR;none
-0.017677;0.006529;-0.00693009;0.00255955;-0.693;-1.7677;0.006778;***;221033;2.550781;leg56_MPV;PLIV;backlog
0.007571;0.001223;0.00285761;0.00046144;0.2858;0.7571;0.0;***;73559;2.649368;leg56_PLP;PLR;none
-0.06318;0.008124;-0.02384714;0.00306627;-2.3847;-6.318;0.0;***;73559;2.649368;leg56_PLP;PLIV;backlog
-0.000603;0.000754;-0.00023826;0.00029806;-0.0238;-0.0603;0.424081;;229206;2.530244;leg56_PL;PLR;none
-0.011256;0.004824;-0.00444868;0.00190659;-0.4449;-1.1256;0.019632;**;229206;2.530244;leg56_PL;PLIV;backlog
0.010606;0.001223;0.01273884;0.00146907;1.2739;1.0606;0.0;***;81650;0.832592;ano2015;PLR;none
