coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;period;model;iv_set
-0.023153;0.001318;-0.01298248;0.00073901;-1.2982;-2.3153;0.0;***;111753;1.783379;PSL_era_2019;PLR;none
-0.019583;0.003124;-0.01098071;0.00175177;-1.0981;-1.9583;0.0;***;111753;1.783379;PSL_era_2019;PLIV;backlog
-0.002217;0.000496;-0.00085353;0.00019104;-0.0854;-0.2217;8e-06;***;531841;2.59699;Centrao_era_2020p;PLR;none
-0.028106;0.003063;-0.01082242;0.0011795;-1.0822;-2.8106;0.0;***;531841;2.59699;Centrao_era_2020p;PLIV;backlog
-0.009909;0.001406;-0.00612547;0.00086921;-0.6125;-0.9909;0.0;***;95387;1.61772;PSL_era_strict_2019_only;PLR;none
-0.010412;0.003597;-0.00643601;0.00222345;-0.6436;-1.0412;0.003796;***;95387;1.61772;PSL_era_strict_2019_only;PLIV;backlog
-0.024702;0.000944;-0.01117418;0.0004272;-1.1174;-2.4702;0.0;***;141558;2.210611;Bolsonaro_2020;PLR;none
-0.119443;0.006617;-0.05403163;0.00299351;-5.4032;-11.9443;0.0;***;141558;2.210611;Bolsonaro_2020;PLIV;backlog
-0.000437;0.000742;-0.00020029;0.0003399;-0.02;-0.0437;0.555689;;252796;2.184126;Bolsonaro_2021;PLR;none
0.00316;0.00312;0.00144682;0.00142847;0.1447;0.316;0.311135;;252796;2.184126;Bolsonaro_2021;PLIV;backlog
0.001393;0.000918;0.00042429;0.00027942;0.0424;0.1393;0.128894;;153853;3.283666;Bolsonaro_2022;PLR;none
-0.088624;0.016684;-0.02698941;0.0050809;-2.6989;-8.8624;0.0;***;153853;3.283666;Bolsonaro_2022;PLIV;backlog
