coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;period;model;iv_set;spec
-5.5e-05;0.004297;-3.107e-05;0.00242211;-0.0031;-0.0055;0.989766;;84392;1.774256;PSL_era_2019;PLR;none;full
0.009095;0.025681;0.00512584;0.014474;0.5126;0.9095;0.723233;;84392;1.774256;PSL_era_2019;PLIV;backlog;full
0.027096;0.001698;0.01035554;0.00064888;1.0356;2.7096;0.0;***;406581;2.616523;Centrao_era_2020p;PLR;none;full
0.047875;0.006282;0.01829714;0.00240094;1.8297;4.7875;0.0;***;406581;2.616523;Centrao_era_2020p;PLIV;backlog;full
-0.001906;0.004723;-0.00118762;0.00294223;-0.1188;-0.1906;0.686475;;72911;1.605225;PSL_era_strict_2019_only;PLR;none;full
0.025366;0.033815;0.01580224;0.02106536;1.5802;2.5366;0.453163;;72911;1.605225;PSL_era_strict_2019_only;PLIV;backlog;full
0.020465;0.003218;0.00936488;0.0014726;0.9365;2.0465;0.0;***;102040;2.185307;Bolsonaro_2020;PLR;none;full
0.094588;0.021477;0.04328351;0.00982774;4.3284;9.4588;1.1e-05;***;102040;2.185307;Bolsonaro_2020;PLIV;backlog;full
0.017354;0.002699;0.0079285;0.00123329;0.7928;1.7354;0.0;***;200919;2.188831;Bolsonaro_2021;PLR;none;full
0.041211;0.009639;0.01882764;0.00440355;1.8828;4.1211;1.9e-05;***;200919;2.188831;Bolsonaro_2021;PLIV;backlog;full
0.031013;0.003188;0.0092507;0.00095082;0.9251;3.1013;0.0;***;115103;3.352531;Bolsonaro_2022;PLR;none;full
0.030901;0.010373;0.00921722;0.00309404;0.9217;3.0901;0.002892;***;115103;3.352531;Bolsonaro_2022;PLIV;backlog;full
