legis;model;iv_set;window;pp_per_R$M_OLD;pval_OLD;stars_OLD;n_obs_OLD;pp_per_R$M_NEW;pval_NEW;stars_NEW;n_obs_NEW;_merge;delta;sign_change
55;PLIV;backlog;pre;40.5656;0.0;***;266527;2.057;0.0;***;226308.0;both;-38.5086;False
55;PLIV;combined;pre;32.5294;0.0;***;266527;;;;;left_only;;True
55;PLIV;fiscal;pre;8.4297;0.020244;**;266527;1.9201;0.0;***;226308.0;both;-6.509600000000001;False
55;PLR;none;pre;1.2753;0.0;***;266527;0.6058;0.0;***;226308.0;both;-0.6695000000000001;False
56;PLIV;backlog;pre;15.0132;0.0;***;1021640;-2.0665;0.0;***;643594.0;both;-17.0797;True
56;PLIV;combined;pre;-8.1522;7e-06;***;1021640;;;;;left_only;;False
56;PLIV;fiscal;pre;-28.3923;0.0;***;1021640;-0.2922;0.028134;**;643594.0;both;28.100099999999998;False
56;PLR;none;pre;0.52;0.0;***;1021640;-0.1761;0.0;***;643594.0;both;-0.6961;True
all;PLIV;backlog;pre;20.6289;0.0;***;1288167;1.9638;0.0;***;869902.0;both;-18.665100000000002;False
all;PLIV;combined;pre;13.2623;0.0;***;1288167;;;;;left_only;;True
all;PLIV;fiscal;pre;-17.2061;0.000147;***;1288167;-0.8171;0.0;***;869902.0;both;16.389;False
all;PLR;none;pre;0.4412;0.0;***;1288167;0.0915;0.0;***;869902.0;both;-0.3497;False
55;PLIV;backlog;sym;52.2863;0.0;***;266527;;;;;left_only;;True
55;PLIV;combined;sym;15.6558;0.0;***;266527;;;;;left_only;;True
55;PLIV;fiscal;sym;9.461;2.2e-05;***;266527;;;;;left_only;;True
55;PLR;none;sym;-0.2206;0.220144;;266527;;;;;left_only;;False
56;PLIV;backlog;sym;10.04;0.0;***;1021640;;;;;left_only;;True
56;PLIV;combined;sym;-8.5058;0.0;***;1021640;;;;;left_only;;False
56;PLIV;fiscal;sym;-9.8322;0.0;***;1021640;;;;;left_only;;False
56;PLR;none;sym;0.5211;0.0;***;1021640;;;;;left_only;;True
all;PLIV;backlog;sym;14.484;0.0;***;1288167;;;;;left_only;;True
all;PLIV;combined;sym;0.3682;0.755311;;1288167;;;;;left_only;;True
all;PLIV;fiscal;sym;-4.9695;0.000106;***;1288167;;;;;left_only;;False
all;PLR;none;sym;0.3555;0.0;***;1288167;;;;;left_only;;True
