legis;model;iv_set;window;pp_per_R$M_OLD;stars_OLD;n_obs_OLD;pp_per_R$M_NEW;ci95_lo_pp;ci95_hi_pp;stars_NEW;n_clusters;n_obs_NEW;_merge;delta;sign_change
55;PLIV;backlog;pre;40.5656;***;266527;1.9386;0.4836;3.3936;***;614.0;226308.0;both;-38.627;False
55;PLIV;combined;pre;32.5294;***;266527;;;;;;;left_only;;True
55;PLIV;fiscal;pre;8.4297;**;266527;-0.9358;-1.7583;-0.1134;**;614.0;226308.0;both;-9.3655;True
55;PLR;none;pre;1.2753;***;266527;0.1071;-0.0578;0.2719;;614.0;226308.0;both;-1.1682000000000001;False
56;PLIV;backlog;pre;15.0132;***;1021640;-0.9381;-1.3678;-0.5084;***;597.0;643594.0;both;-15.9513;True
56;PLIV;combined;pre;-8.1522;***;1021640;;;;;;;left_only;;False
56;PLIV;fiscal;pre;-28.3923;***;1021640;0.2594;-0.2088;0.7276;;597.0;643594.0;both;28.651699999999998;True
56;PLR;none;pre;0.52;***;1021640;-0.1191;-0.181;-0.0572;***;597.0;643594.0;both;-0.6391;True
all;PLIV;backlog;pre;20.6289;***;1288167;-2.7836;-3.7427;-1.8245;***;931.0;869902.0;both;-23.4125;True
all;PLIV;combined;pre;13.2623;***;1288167;;;;;;;left_only;;True
all;PLIV;fiscal;pre;-17.2061;***;1288167;-1.7627;-2.394;-1.1313;***;931.0;869902.0;both;15.443399999999999;False
all;PLR;none;pre;0.4412;***;1288167;0.0012;-0.0685;0.071;;931.0;869902.0;both;-0.44;False
55;PLIV;backlog;sym;52.2863;***;266527;;;;;;;left_only;;True
55;PLIV;combined;sym;15.6558;***;266527;;;;;;;left_only;;True
55;PLIV;fiscal;sym;9.461;***;266527;;;;;;;left_only;;True
55;PLR;none;sym;-0.2206;;266527;;;;;;;left_only;;False
56;PLIV;backlog;sym;10.04;***;1021640;;;;;;;left_only;;True
56;PLIV;combined;sym;-8.5058;***;1021640;;;;;;;left_only;;False
56;PLIV;fiscal;sym;-9.8322;***;1021640;;;;;;;left_only;;False
56;PLR;none;sym;0.5211;***;1021640;;;;;;;left_only;;True
all;PLIV;backlog;sym;14.484;***;1288167;;;;;;;left_only;;True
all;PLIV;combined;sym;0.3682;;1288167;;;;;;;left_only;;True
all;PLIV;fiscal;sym;-4.9695;***;1288167;;;;;;;left_only;;False
all;PLR;none;sym;0.3555;***;1288167;;;;;;;left_only;;True
