strategy;legis;model;n_controls;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs
A_reduced;55;PLR;23;0.6198;0.3521;0.8875;6e-06;***;226308
A_reduced;55;PLIV_backlog;23;2.2496;1.0143;3.4848;0.000358;***;226308
A_reduced;56;PLR;29;-0.1669;-0.2799;-0.0539;0.003804;***;643594
A_reduced;56;PLIV_backlog;29;-2.1225;-2.941;-1.304;0.0;***;643594
B_full_clean;55;PLR;116;0.1204;-0.0788;0.3197;0.236017;;226308
B_full_clean;55;PLIV_backlog;116;1.4806;0.323;2.6381;0.012176;**;226308
B_full_clean;56;PLR;132;-0.1204;-0.2266;-0.0143;0.026125;**;643594
B_full_clean;56;PLIV_backlog;132;-1.7325;-2.5448;-0.9201;2.9e-05;***;643594
C_full_no_orient;55;PLR;91;0.8604;0.6093;1.1116;0.0;***;226308
C_full_no_orient;55;PLIV_backlog;91;3.5588;2.0205;5.0972;6e-06;***;226308
C_full_no_orient;56;PLR;106;-0.1245;-0.2368;-0.0122;0.029842;**;643594
C_full_no_orient;56;PLIV_backlog;106;-1.2348;-2.0311;-0.4386;0.002369;***;643594
D_lasso_selected;55;PLR;116;0.1195;-0.0766;0.3156;0.232307;;226308
D_lasso_selected;55;PLIV_backlog;116;1.0492;-0.0905;2.1889;0.071186;*;226308
D_lasso_selected;56;PLR;132;-0.1213;-0.2294;-0.0132;0.027835;**;643594
D_lasso_selected;56;PLIV_backlog;132;-1.6406;-2.4415;-0.8397;5.9e-05;***;643594
E_rf_top50;55;PLR;50;0.1037;-0.0907;0.298;0.295841;;226308
E_rf_top50;55;PLIV_backlog;50;0.9026;-0.0172;1.8224;0.054431;*;226308
E_rf_top50;56;PLR;50;-0.1399;-0.2463;-0.0334;0.010025;**;643594
E_rf_top50;56;PLIV_backlog;50;-1.6381;-2.4438;-0.8325;6.7e-05;***;643594
F_buckets_safe;55;PLR;20;1.1185;0.7586;1.4785;0.0;***;226308
F_buckets_safe;55;PLIV_backlog;20;5.2866;3.5208;7.0524;0.0;***;226308
F_buckets_safe;56;PLR;20;-0.241;-0.4004;-0.0816;0.003038;***;643594
F_buckets_safe;56;PLIV_backlog;20;-3.5081;-4.6198;-2.3965;0.0;***;643594
G_buckets_temporal;55;PLR;30;1.1198;0.7599;1.4797;0.0;***;226308
G_buckets_temporal;55;PLIV_backlog;30;6.2769;4.1402;8.4135;0.0;***;226308
G_buckets_temporal;56;PLR;51;-0.2264;-0.3944;-0.0584;0.00826;***;643594
G_buckets_temporal;56;PLIV_backlog;51;-4.1651;-5.4228;-2.9073;0.0;***;643594
