model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;category;scenario;legis;group;component;value;pp;share_of_delta
PLIV_FE_cluster;backlog;0.045907;0.017504;1.9253;0.4865;3.3641;0.008724;***;226308.0;614.0;116.0;2.38442;R2.7_rp9;baseline;55;;;;;
PLIV_FE_cluster;backlog;-0.023351;0.005311;-0.9545;-1.38;-0.529;1.1e-05;***;643594.0;597.0;132.0;2.446335;R2.7_rp9;baseline;56;;;;;
PLIV_FE_cluster;backlog;-0.06943;0.011851;-2.8423;-3.7933;-1.8914;0.0;***;869902.0;931.0;142.0;2.442717;R2.7_rp9;baseline;all;;;;;
PLIV_FE_cluster;backlog;0.044497;0.017641;1.8662;0.4161;3.3162;0.011655;**;226308.0;614.0;116.0;2.38442;R2.7_rp9;rp9_x2;55;;;;;
PLIV_FE_cluster;backlog;-0.022837;0.005347;-0.4668;-0.681;-0.2526;1.9e-05;***;643594.0;597.0;132.0;4.892671;R2.7_rp9;rp9_x2;56;;;;;
PLIV_FE_cluster;backlog;-0.091918;0.010695;-2.0642;-2.535;-1.5935;0.0;***;869902.0;931.0;142.0;4.452942;R2.7_rp9;rp9_x2;all;;;;;
PLIV_FE_cluster;backlog;0.045284;0.017555;1.8992;0.4561;3.3422;0.009894;***;226308.0;614.0;116.0;2.38442;R2.7_rp9;rp9_x3;55;;;;;
PLIV_FE_cluster;backlog;-0.023347;0.005309;-0.3181;-0.4599;-0.1763;1.1e-05;***;643594.0;597.0;132.0;7.339006;R2.7_rp9;rp9_x3;56;;;;;
PLIV_FE_cluster;backlog;-0.098081;0.010659;-1.4915;-1.8091;-1.1738;0.0;***;869902.0;931.0;142.0;6.576205;R2.7_rp9;rp9_x3;all;;;;;
PLIV_FE_cluster;backlog;-0.073606;0.008607;-3.037;-3.733;-2.3409;0.0;***;287383.0;929.0;127.0;2.423656;R2.8_polarization;;;pol_low;;;;
PLIV_FE_cluster;backlog;-0.010375;0.014453;-0.4657;-1.737;0.8057;0.472844;;295128.0;929.0;132.0;2.228055;R2.8_polarization;;;pol_mid;;;;
PLIV_FE_cluster;backlog;0.01898;0.011773;0.7247;-0.1564;1.6058;0.106928;;287391.0;928.0;128.0;2.618891;R2.8_polarization;;;pol_high;;;;
;;;;;;;;;;;;;R2.9_oaxaca;;;;delta_total;0.02740761981686668;2.740761981686668;
;;;;;;;;;;;;;R2.9_oaxaca;;;;composition;-0.1064201456909206;-10.64201456909206;-3.8828671151308636
;;;;;;;;;;;;;R2.9_oaxaca;;;;coefficient;0.13382776550913977;13.382776550913977;4.88286711518021
