Ano;RP;n_emendas;autores_unicos;empenhado_bi;pago_bi
2014;RP6;11155;0;6.094305555290001;0.13332513513000002
2015;RP6;3714;572;3.3834609234500004;0.024276108079999997
2016;RP6;6115;593;7.2227190094700005;1.9643651911300002
2016;RP7;306;0;3.6399275209800006;0.8383608734000001
2016;RP8;1479;1;1.31402650277;0.5338861555800001
2016;RP9;151;0;13.74528338387;12.884949705
2017;RP6;5509;593;7.12173806059;1.46035319285
2017;RP7;691;27;5.08350471633;1.11872139376
2017;RP8;239;1;0.8661819186499999;0.47446725142000007
2017;RP9;3194;0;4.46051189782;2.29365008309
2018;RP6;7116;594;8.45751291459;4.03690191164
2018;RP7;86;26;3.36296075846;1.3458688270099999
2018;RP8;28;1;0.19052888276;0.09135376996000001
2019;RP6;7990;591;8.54018021445;4.20323570982
2019;RP7;272;27;4.71520211716;1.5689438373400002
2019;RP8;102;1;0.19032415652;0.02820819558
2019;RP9;112;0;0.41735796458999996;0.23619745905
2020;RP6;7461;594;8.606741157110001;4.78256768725
2020;RP6_Pix;200;137;0.621218088;0.621218088
2020;RP7;458;27;6.501863894;3.6172605358900003
2020;RP8;121;42;0.57771216706;0.26834796823
2020;RP9;381;1;21.23319017325;8.34233266914
2021;RP6;5582;594;7.417331722809999;4.287849409840001
2021;RP6_Pix;635;402;2.038563762;2.00001559225
2021;RP7;347;27;7.22311031486;3.2187239471400004
2021;RP9;31;1;16.719609211;6.392225603580001
2022;RP6;4865;594;7.40083866133;5.2137626066900005
2022;RP6_Pix;848;507;3.316992736;1.6187568065
2022;RP7;355;27;5.79130024231;3.0630783835799997
2022;RP8;17;11;0.30808245838;0.09286495072999999
2022;RP9;23;1;8.64094181217;7.044064719990001
2023;RP6;4531;594;13.808367089240003;10.57837387988
2023;RP6_Pix;1095;515;7.078911815;7.078911815
2023;RP7;355;27;7.62000381837;4.07521652675
2023;RP8;129;39;6.8713044212300005;0.17746415726999998
2024;RP6;5688;594;16.99441238894;12.1857951175
2024;RP6_Pix;906;523;7.682452727;7.682452727
2024;RP7;360;27;8.40327586104;4.13376787483
2024;RP8;36;21;11.734219938490002;7.3961392661000005
2025;RP6;5325;592;17.30397577743;13.03012493153
2025;RP6_Pix;746;499;6.96579119224;6.8962542165
2025;RP7;222;27;11.553471969450001;6.27706070357
2025;RP8;17;9;11.24798322835;5.3351191663
2026;RP6;4025;592;15.58830193375;9.03233361621
2026;RP6_Pix;556;441;2.87603778608;2.87603778608
2026;RP7;121;27;6.482337272260001;3.0989248393399995
2026;RP8;19;10;5.14547904753;2.02015862287
