idVotacao;n_partidos;n_orientacoes_distintas;n_sim;n_nao;n_obs;n_lib;n_abst;n_null;unanime_sim;unanime_nao;divergencia_sim_nao;liberados_majoritarios
101666-71;2;1;2;0;0;0;0;0;False;False;False;False
104342-141;2;1;2;0;0;0;0;0;False;False;False;False
104342-99;2;1;0;2;0;0;0;0;False;False;False;False
1049075-6;3;1;1;0;0;0;0;2;False;False;False;False
1049167-8;3;1;1;0;0;0;0;2;False;False;False;False
1050558-63;3;1;1;0;0;0;0;2;False;False;False;False
1050643-102;3;1;1;0;0;0;0;2;False;False;False;False
1050643-110;3;1;0;1;0;0;0;2;False;False;False;False
1050643-113;3;1;0;1;0;0;0;2;False;False;False;False
1050643-117;3;1;0;1;0;0;0;2;False;False;False;False
1050643-121;3;1;0;1;0;0;0;2;False;False;False;False
1050643-125;3;1;1;0;0;0;0;2;False;False;False;False
1050643-91;3;1;1;0;0;0;0;2;False;False;False;False
1050643-96;3;1;0;1;0;0;0;2;False;False;False;False
1050643-99;3;1;0;1;0;0;0;2;False;False;False;False
1050795-6;3;1;0;1;0;0;0;2;False;False;False;False
1050835-5;3;1;1;0;0;0;0;2;False;False;False;False
1050836-6;3;1;1;0;0;0;0;2;False;False;False;False
1050845-6;3;1;1;0;0;0;0;2;False;False;False;False
1050852-8;3;1;0;1;0;0;0;2;False;False;False;False
105464-262;4;1;0;1;0;0;0;3;False;False;False;False
105464-319;8;1;0;5;0;0;0;3;False;False;False;False
105464-326;8;1;0;5;0;0;0;3;False;False;False;False
106071-101;3;1;3;0;0;0;0;0;False;False;False;False
106071-138;3;1;3;0;0;0;0;0;False;False;False;False
1063052-105;3;0;0;0;0;0;0;3;False;False;False;False
1063052-76;3;0;0;0;0;0;0;3;False;False;False;False
109150-238;4;1;0;0;1;0;0;3;False;False;False;False
109175-70;3;1;2;0;0;0;0;1;False;False;False;False
1116134-78;7;2;1;2;0;0;0;4;False;False;True;False
112893-218;2;1;2;0;0;0;0;0;False;False;False;False
112893-225;2;1;2;0;0;0;0;0;False;False;False;False
113716-111;3;1;2;0;0;0;0;1;False;False;False;False
113716-267;3;1;2;0;0;0;0;1;False;False;False;False
113717-114;3;1;0;2;0;0;0;1;False;False;False;False
113717-142;3;1;0;2;0;0;0;1;False;False;False;False
113717-152;3;1;2;0;0;0;0;1;False;False;False;False
113717-171;3;1;0;2;0;0;0;1;False;False;False;False
113717-181;3;1;2;0;0;0;0;1;False;False;False;False
113717-184;3;1;2;0;0;0;0;1;False;False;False;False
113717-189;3;1;2;0;0;0;0;1;False;False;False;False
113717-194;3;1;0;2;0;0;0;1;False;False;False;False
113717-197;3;1;0;2;0;0;0;1;False;False;False;False
113717-200;3;1;0;2;0;0;0;1;False;False;False;False
113717-202;3;1;0;2;0;0;0;1;False;False;False;False
113717-204;3;1;0;2;0;0;0;1;False;False;False;False
113717-230;3;1;2;0;0;0;0;1;False;False;False;False
113717-250;3;1;0;2;0;0;0;1;False;False;False;False
113717-295;3;1;0;2;0;0;0;1;False;False;False;False
113717-59;3;1;2;0;0;0;0;1;False;False;False;False
113717-95;3;1;0;2;0;0;0;1;False;False;False;False
114145-58;2;1;2;0;0;0;0;0;False;False;False;False
1150196-33;3;1;1;0;0;0;0;2;False;False;False;False
1150196-36;3;1;0;1;0;0;0;2;False;False;False;False
1150196-42;3;1;0;1;0;0;0;2;False;False;False;False
1150196-47;3;1;0;1;0;0;0;2;False;False;False;False
1150196-50;3;1;0;1;0;0;0;2;False;False;False;False
1150196-53;3;1;0;1;0;0;0;2;False;False;False;False
1150196-59;3;1;0;1;0;0;0;2;False;False;False;False
115155-58;3;1;3;0;0;0;0;0;False;False;False;False
117975-134;3;1;1;0;0;0;0;2;False;False;False;False
117975-180;3;1;0;1;0;0;0;2;False;False;False;False
1194736-11;3;1;0;1;0;0;0;2;False;False;False;False
1197773-90;7;1;0;0;0;1;0;6;False;False;False;False
1197773-99;7;1;1;0;0;0;0;6;False;False;False;False
1198512-250;8;1;8;0;0;0;0;0;True;False;False;False
