legis;metric;corr_with_alinhamento;mean;mean_when_aligned;mean_when_unaligned;n_obs
55;T_rp6_pre60;0.1008;1973601.654;2049745.3567;1782430.3222;226308
55;T_rp6_pix_pre60;;0.0;0.0;0.0;226308
55;T_rp8_pre60;;0.0;0.0;0.0;226308
55;T_rp9_imputed_pre60;;0.0;0.0;0.0;226308
55;share_pork_opaco;;0.0;0.0;0.0;226308
55;share_rp9;;0.0;0.0;0.0;226308
55;share_pix;;0.0;0.0;0.0;226308
55;d_rp9_solicitante;;0.0;0.0;0.0;226308
55;n_apoiamentos_opaco;;0.0;0.0;0.0;226308
56;T_rp6_pre60;-0.0428;2292795.0299;2263428.8417;2377499.4481;643594
56;T_rp6_pix_pre60;0.0068;455589.0298;457760.8082;449324.7089;643594
56;T_rp8_pre60;-0.0094;1840.1804;1587.0762;2570.2392;643594
56;T_rp9_imputed_pre60;0.0191;6728.8754;7438.1508;4683.0273;643594
56;share_pork_opaco;0.007;0.0139;0.0143;0.0128;643594
56;share_rp9;0.0079;0.0121;0.0125;0.0109;643594
56;share_pix;0.0068;0.1644;0.1652;0.1622;643594
56;d_rp9_solicitante;0.0155;0.0322;0.0339;0.0276;643594
56;n_apoiamentos_opaco;0.0167;0.054;0.0576;0.0435;643594
