legis;partido;metric;n_dep_obs;mean_value_M;pct_positive;mean_alinhamento
55;PT;T_rp6_pre60;27716;2.051;88.22;0.502
55;PT;T_rp6_pix_pre60;27716;0.0;0.0;0.502
55;PT;T_rp8_pre60;27716;0.0;0.0;0.502
55;PT;T_rp9_imputed_pre60;27716;0.0;0.0;0.502
55;PT;d_rp9_solicitante;27716;0.0;0.0;0.502
55;PT;share_pork_opaco;27716;0.0;0.0;0.502
55;PP;T_rp6_pre60;18976;2.137;85.78;0.821
55;PP;T_rp6_pix_pre60;18976;0.0;0.0;0.821
55;PP;T_rp8_pre60;18976;0.0;0.0;0.821
55;PP;T_rp9_imputed_pre60;18976;0.0;0.0;0.821
55;PP;d_rp9_solicitante;18976;0.0;0.0;0.821
55;PP;share_pork_opaco;18976;0.0;0.0;0.821
55;PSDB;T_rp6_pre60;22608;1.861;76.7;0.665
55;PSDB;T_rp6_pix_pre60;22608;0.0;0.0;0.665
55;PSDB;T_rp8_pre60;22608;0.0;0.0;0.665
55;PSDB;T_rp9_imputed_pre60;22608;0.0;0.0;0.665
55;PSDB;d_rp9_solicitante;22608;0.0;0.0;0.665
55;PSDB;share_pork_opaco;22608;0.0;0.0;0.665
55;PSD;T_rp6_pre60;15381;2.031;82.1;0.842
55;PSD;T_rp6_pix_pre60;15381;0.0;0.0;0.842
55;PSD;T_rp8_pre60;15381;0.0;0.0;0.842
55;PSD;T_rp9_imputed_pre60;15381;0.0;0.0;0.842
55;PSD;d_rp9_solicitante;15381;0.0;0.0;0.842
55;PSD;share_pork_opaco;15381;0.0;0.0;0.842
55;PSB;T_rp6_pre60;14461;1.888;79.32;0.613
55;PSB;T_rp6_pix_pre60;14461;0.0;0.0;0.613
55;PSB;T_rp8_pre60;14461;0.0;0.0;0.613
55;PSB;T_rp9_imputed_pre60;14461;0.0;0.0;0.613
55;PSB;d_rp9_solicitante;14461;0.0;0.0;0.613
55;PSB;share_pork_opaco;14461;0.0;0.0;0.613
55;PMDB;T_rp6_pre60;26237;1.984;78.52;0.858
55;PMDB;T_rp6_pix_pre60;26237;0.0;0.0;0.858
55;PMDB;T_rp8_pre60;26237;0.0;0.0;0.858
55;PMDB;T_rp9_imputed_pre60;26237;0.0;0.0;0.858
55;PMDB;d_rp9_solicitante;26237;0.0;0.0;0.858
55;PMDB;share_pork_opaco;26237;0.0;0.0;0.858
55;PDT;T_rp6_pre60;8545;1.911;82.15;0.543
55;PDT;T_rp6_pix_pre60;8545;0.0;0.0;0.543
55;PDT;T_rp8_pre60;8545;0.0;0.0;0.543
55;PDT;T_rp9_imputed_pre60;8545;0.0;0.0;0.543
55;PDT;d_rp9_solicitante;8545;0.0;0.0;0.543
55;PDT;share_pork_opaco;8545;0.0;0.0;0.543
55;PSL;T_rp6_pre60;1124;2.401;86.39;0.925
55;PSL;T_rp6_pix_pre60;1124;0.0;0.0;0.925
55;PSL;T_rp8_pre60;1124;0.0;0.0;0.925
55;PSL;T_rp9_imputed_pre60;1124;0.0;0.0;0.925
55;PSL;d_rp9_solicitante;1124;0.0;0.0;0.925
55;PSL;share_pork_opaco;1124;0.0;0.0;0.925
55;MDB;T_rp6_pre60;1644;2.316;85.58;0.926
55;MDB;T_rp6_pix_pre60;1644;0.0;0.0;0.926
55;MDB;T_rp8_pre60;1644;0.0;0.0;0.926
55;MDB;T_rp9_imputed_pre60;1644;0.0;0.0;0.926
55;MDB;d_rp9_solicitante;1644;0.0;0.0;0.926
55;MDB;share_pork_opaco;1644;0.0;0.0;0.926
55;DEM;T_rp6_pre60;11715;2.103;87.2;0.734
55;DEM;T_rp6_pix_pre60;11715;0.0;0.0;0.734
55;DEM;T_rp8_pre60;11715;0.0;0.0;0.734
55;DEM;T_rp9_imputed_pre60;11715;0.0;0.0;0.734
55;DEM;d_rp9_solicitante;11715;0.0;0.0;0.734
55;DEM;share_pork_opaco;11715;0.0;0.0;0.734
55;PTB;T_rp6_pre60;8440;2.153;83.54;0.791
55;PTB;T_rp6_pix_pre60;8440;0.0;0.0;0.791
55;PTB;T_rp8_pre60;8440;0.0;0.0;0.791
55;PTB;T_rp9_imputed_pre60;8440;0.0;0.0;0.791
55;PTB;d_rp9_solicitante;8440;0.0;0.0;0.791
55;PTB;share_pork_opaco;8440;0.0;0.0;0.791
55;PR;T_rp6_pre60;16141;2.174;86.91;0.868
55;PR;T_rp6_pix_pre60;16141;0.0;0.0;0.868
55;PR;T_rp8_pre60;16141;0.0;0.0;0.868
55;PR;T_rp9_imputed_pre60;16141;0.0;0.0;0.868
55;PR;d_rp9_solicitante;16141;0.0;0.0;0.868
55;PR;share_pork_opaco;16141;0.0;0.0;0.868
56;PT;T_rp6_pre60;69649;2.341;94.51;0.247
56;PT;T_rp6_pix_pre60;69649;0.523;60.16;0.247
56;PT;T_rp8_pre60;69649;0.006;0.49;0.247
56;PT;T_rp9_imputed_pre60;69649;0.008;4.61;0.247
56;PT;d_rp9_solicitante;69649;0.0461;4.61;0.247
56;PT;share_pork_opaco;69649;0.0192;5.1;0.247
56;PP;T_rp6_pre60;50582;2.178;89.72;0.923
56;PP;T_rp6_pix_pre60;50582;0.594;56.99;0.923
56;PP;T_rp8_pre60;50582;0.0;0.0;0.923
56;PP;T_rp9_imputed_pre60;50582;0.003;4.17;0.923
56;PP;d_rp9_solicitante;50582;0.0417;4.17;0.923
56;PP;share_pork_opaco;50582;0.0082;4.17;0.923
56;PL;T_rp6_pre60;57484;2.224;90.18;0.926
56;PL;T_rp6_pix_pre60;57484;0.546;60.87;0.926
56;PL;T_rp8_pre60;57484;0.006;0.92;0.926
56;PL;T_rp9_imputed_pre60;57484;0.003;3.65;0.926
56;PL;d_rp9_solicitante;57484;0.0365;3.65;0.926
56;PL;share_pork_opaco;57484;0.0231;4.57;0.926
56;PSDB;T_rp6_pre60;37464;2.386;89.46;0.826
56;PSDB;T_rp6_pix_pre60;37464;0.459;50.9;0.826
56;PSDB;T_rp8_pre60;37464;0.0;0.0;0.826
56;PSDB;T_rp9_imputed_pre60;37464;0.009;4.03;0.826
56;PSDB;d_rp9_solicitante;37464;0.0403;4.03;0.826
56;PSDB;share_pork_opaco;37464;0.0115;4.03;0.826
56;PSD;T_rp6_pre60;45666;2.149;88.09;0.891
56;PSD;T_rp6_pix_pre60;45666;0.527;54.73;0.891
56;PSD;T_rp8_pre60;45666;0.003;0.17;0.891
56;PSD;T_rp9_imputed_pre60;45666;0.0;0.42;0.891
56;PSD;d_rp9_solicitante;45666;0.0042;0.42;0.891
56;PSD;share_pork_opaco;45666;0.0021;0.59;0.891
56;PSB;T_rp6_pre60;38109;2.375;87.93;0.424
56;PSB;T_rp6_pix_pre60;38109;0.421;50.78;0.424
56;PSB;T_rp8_pre60;38109;0.004;0.86;0.424
56;PSB;T_rp9_imputed_pre60;38109;0.002;2.11;0.424
56;PSB;d_rp9_solicitante;38109;0.0211;2.11;0.424
56;PSB;share_pork_opaco;38109;0.0181;2.98;0.424
56;PDT;T_rp6_pre60;32736;2.292;86.69;0.437
56;PDT;T_rp6_pix_pre60;32736;0.459;47.83;0.437
56;PDT;T_rp8_pre60;32736;0.0;0.0;0.437
56;PDT;T_rp9_imputed_pre60;32736;0.001;1.79;0.437
56;PDT;d_rp9_solicitante;32736;0.0179;1.79;0.437
56;PDT;share_pork_opaco;32736;0.0129;1.79;0.437
56;PSL;T_rp6_pre60;56733;2.084;78.84;0.944
56;PSL;T_rp6_pix_pre60;56733;0.294;37.02;0.944
56;PSL;T_rp8_pre60;56733;0.0;0.0;0.944
56;PSL;T_rp9_imputed_pre60;56733;0.012;2.08;0.944
56;PSL;d_rp9_solicitante;56733;0.0208;2.08;0.944
56;PSL;share_pork_opaco;56733;0.0071;2.08;0.944
56;MDB;T_rp6_pre60;40233;2.475;91.44;0.869
56;MDB;T_rp6_pix_pre60;40233;0.464;48.42;0.869
56;MDB;T_rp8_pre60;40233;0.0;0.0;0.869
56;MDB;T_rp9_imputed_pre60;40233;0.004;3.84;0.869
56;MDB;d_rp9_solicitante;40233;0.0384;3.84;0.869
56;MDB;share_pork_opaco;40233;0.0044;3.84;0.869
56;REPUBLICANOS;T_rp6_pre60;39886;2.524;92.83;0.925
56;REPUBLICANOS;T_rp6_pix_pre60;39886;0.46;50.45;0.925
56;REPUBLICANOS;T_rp8_pre60;39886;0.003;0.57;0.925
56;REPUBLICANOS;T_rp9_imputed_pre60;39886;0.005;5.69;0.925
56;REPUBLICANOS;d_rp9_solicitante;39886;0.0569;5.69;0.925
56;REPUBLICANOS;share_pork_opaco;39886;0.0216;6.27;0.925
56;DEM;T_rp6_pre60;26104;2.514;88.01;0.886
56;DEM;T_rp6_pix_pre60;26104;0.235;30.6;0.886
56;DEM;T_rp8_pre60;26104;0.0;0.15;0.886
56;DEM;T_rp9_imputed_pre60;26104;0.02;5.87;0.886
56;DEM;d_rp9_solicitante;26104;0.0587;5.87;0.886
56;DEM;share_pork_opaco;26104;0.029;6.02;0.886
56;UNIÃO;T_rp6_pre60;14166;2.18;95.09;0.892
56;UNIÃO;T_rp6_pix_pre60;14166;0.884;83.6;0.892
56;UNIÃO;T_rp8_pre60;14166;0.002;2.24;0.892
56;UNIÃO;T_rp9_imputed_pre60;14166;0.002;1.84;0.892
56;UNIÃO;d_rp9_solicitante;14166;0.0184;1.84;0.892
56;UNIÃO;share_pork_opaco;14166;0.0197;4.08;0.892
56;PTB;T_rp6_pre60;11485;2.1;79.07;0.91
56;PTB;T_rp6_pix_pre60;11485;0.403;36.37;0.91
56;PTB;T_rp8_pre60;11485;0.0;0.0;0.91
56;PTB;T_rp9_imputed_pre60;11485;0.0;0.48;0.91
56;PTB;d_rp9_solicitante;11485;0.0048;0.48;0.91
56;PTB;share_pork_opaco;11485;0.0013;0.48;0.91
56;PR;T_rp6_pre60;1095;1.471;47.21;0.961
56;PR;T_rp6_pix_pre60;1095;0.0;0.0;0.961
56;PR;T_rp8_pre60;1095;0.0;0.0;0.961
56;PR;T_rp9_imputed_pre60;1095;0.0;0.0;0.961
56;PR;d_rp9_solicitante;1095;0.0;0.0;0.961
56;PR;share_pork_opaco;1095;0.0;0.0;0.961
