legis;rp;n_obs;n_positive;pct_positive;mean_when_positive_R$M;p50_when_positive_R$M;max_R$M;total_R$bi
55;rp6;226308;185953;82.17;2.402;2.584;5.933;446.642
55;rp6_pix;226308;0;0.0;0.0;0.0;0.0;0.0
55;rp7;226308;0;0.0;0.0;0.0;0.0;0.0
55;rp8;226308;0;0.0;0.0;0.0;0.0;0.0
55;rp9;226308;0;0.0;0.0;0.0;0.0;0.0
55;rp9_imputed;226308;0;0.0;0.0;0.0;0.0;0.0
56;rp6;643594;567234;88.14;2.601;2.636;5.494;1475.629
56;rp6_pix;643594;322282;50.08;0.91;1.011;1.45;293.214
56;rp7;643594;0;0.0;0.0;0.0;0.0;0.0
56;rp8;643594;1868;0.29;0.634;0.465;1.587;1.184
56;rp9;643594;0;0.0;0.0;0.0;0.0;0.0
56;rp9_imputed;643594;20755;3.22;0.209;0.099;1.302;4.331
