;lag_medio_dias;pct_executado_medio;pct_concluido;pct_problema;p3_vl_uf_total;p3_vl_uf_pix;vl_rp9_imputed_prefeito;share_individual;n_cargos;n_tier2
lag_medio_dias;1.0;-0.14210727684667074;-0.003504927342344515;0.1689911617904467;-0.05542274859853801;-0.0850059082270795;0.01671866312186765;;-0.11567765234350119;-0.09360016999000263
pct_executado_medio;-0.14210727684667074;1.0;0.09421566562152575;0.060692338972488075;0.05364203234746149;0.034662650663933;0.025160617549773945;;-0.07560183818055222;-0.011376203784859089
pct_concluido;-0.003504927342344515;0.09421566562152575;1.0;-0.042621903163281225;0.0016585792477177615;0.0028193844895005498;-0.013086740396913113;;-0.010898384757352417;-0.016100107383838512
pct_problema;0.1689911617904467;0.060692338972488075;-0.042621903163281225;1.0;-0.043882432097885796;-0.059657441933392154;-0.0336301748258443;;-0.03195664208085795;-0.0660069619729674
p3_vl_uf_total;-0.05542274859853801;0.05364203234746149;0.0016585792477177615;-0.043882432097885796;1.0;0.27346522213613894;0.024637512302021155;;-0.0062303498797308884;0.0013854550931647871
p3_vl_uf_pix;-0.0850059082270795;0.034662650663933;0.0028193844895005498;-0.059657441933392154;0.27346522213613894;1.0;0.05845364510089227;;-0.005456085518527338;0.010051534910508518
vl_rp9_imputed_prefeito;0.01671866312186765;0.025160617549773945;-0.013086740396913113;-0.0336301748258443;0.024637512302021155;0.05845364510089227;1.0;;-0.09025731176935482;0.007492471285935906
share_individual;;;;;;;;;;
n_cargos;-0.11567765234350119;-0.07560183818055222;-0.010898384757352417;-0.03195664208085795;-0.0062303498797308884;-0.005456085518527338;-0.09025731176935482;;1.0;0.36406595340278713
n_tier2;-0.09360016999000263;-0.011376203784859089;-0.016100107383838512;-0.0660069619729674;0.0013854550931647871;0.010051534910508518;0.007492471285935906;;0.36406595340278713;1.0
