ano;n_deputados;n_conv;pct_concluido;pct_problema
2009;1;1;0.0;1.0
2010;430;2625;0.4348759941808577;0.15639129232420684
2011;460;5427;0.4546650177483559;0.16298364056292555
2012;572;5309;0.41033014305794135;0.14877918269213747
2013;585;8958;0.34217215317183397;0.1384037325177022
2014;604;8141;0.2261982511248202;0.198118171053294
2015;632;4777;0.1368606518483537;0.1603813629578381
2016;619;11139;0.104259309299396;0.1430605501679014
2017;615;9420;0.04547588195410659;0.1472280654492004
2018;610;10601;0.06562218225202113;0.14167398675751966
2019;586;7643;0.03918944244902237;0.11946865684944433
2020;577;6582;0.0694807888740611;0.13091917703522404
2021;530;5822;0.054690095476141336;0.0673166561321948
2022;467;4077;0.04812845465622265;0.03802262323863019
2023;451;7014;0.023949622240585847;0.01517039617644449
2024;509;7652;0.01074560346049511;0.012132987349062797
2025;482;9999;0.00014066016341375697;0.0020602465487821004
2026;322;1715;0.0;0.0
