ano;vl_dotacao_inicial;vl_dotacao_atualizada;vl_empenhado_total;vl_pago_total;vl_pagamentos_totais;vl_emendas_total;vl_individual;vl_bancada;vl_relator;vl_comissao;vl_pix;share_emendas_empenhado;share_individual;share_bancada;share_relator;share_pix
2008;1362268012583.9998;1551947166471.9998;1253198888760.9897;1178972013812.3699;1213734081521.8198;;;;;;;;;;;
2009;1581447761494.0;1705173824197.0;1408310151188.8599;1323239481974.6401;1371567705730.15;;;;;;;;;;;
2010;1766021794352.0;1848199882506.0;1501891208074.5;1411429646248.65;1473372266028.2998;;;;;;;;;;;
2011;1964392359391.0;2013672267928.0;1674098042009.0698;1571336887554.1401;1645393787909.42;;;;;;;;;;;
2012;2150458867507.0002;2256717237731.0;1838262388660.4595;1710561499517.0498;1790077042238.52;;;;;;;;;;;
2013;2165910805668.9998;2355490203758.0;1939254108981.7102;1791567623876.28;1880277571719.56;;;;;;;;;;;
2014;2383177997310.0005;2608372403576.0005;2307801283919.65;2167091266251.0898;2278888629440.06;;;;;;;;;;;
2015;2876676947442.0;2938486110523.0;2383179333544.7397;2268734920985.4697;2390307588617.36;1585811387.0;1585811387.0;0.0;0.0;0.0;0.0;0.0006654184033399052;0.0006654184033399052;0.0;0.0;0.0
2016;2953545962306.9795;3003407133127.9795;2662715380420.0806;2573418290984.36;2679024553066.54;3566153076.0;3566153076.0;0.0;0.0;0.0;0.0;0.0013392918755880659;0.0013392918755880659;0.0;0.0;0.0
2017;3415431200229.0005;3415466404332.0005;2585284686998.7305;2485269298516.9;2561457791850.75;3785615111.0;3267784741.0;517830370.0;0.0;0.0;0.0;0.0014642933252332604;0.0012639941579484569;0.00020029916728480366;0.0;0.0
2018;3504921082621.4307;3527218747854.4307;2755425960542.5596;2618920778160.15;2701928130990.85;7923362063.0;6730710436.0;1192651627.0;0.0;0.0;0.0;0.002875548890248477;0.0024427114110061893;0.00043283747924228745;0.0;0.0
2019;3262199303812.87;3314198176771.87;2844296512525.76;2708412738243.45;2823310974926.11;7296103662.0;5661458152.0;1634645510.0;0.0;0.0;0.0;0.0025651698512687755;0.00199045990003784;0.0005747099512309358;0.0;0.0
