mes;status_bols;sim_rate;n
2019-02-01;coal;0.4517212426532326;2382
2019-02-01;indep;0.4410958904109589;3285
2019-02-01;opos;0.3175775480059084;2031
2019-03-01;coal;0.46277795681598455;3103
2019-03-01;indep;0.4269496544916091;4052
2019-03-01;opos;0.42879197221150134;2591
2019-04-01;coal;0.21348314606741572;267
2019-04-01;indep;0.2375366568914956;341
2019-04-01;opos;0.35071090047393366;211
2019-05-01;coal;0.47370093754965836;6293
2019-05-01;indep;0.4381585346085265;6169
2019-05-01;opos;0.24529684827754702;4093
2019-06-01;coal;0.6263791374122367;1994
2019-06-01;indep;0.6367771280051981;1539
2019-06-01;opos;0.5810169491525424;1475
2019-07-01;coal;0.5130191166776532;6068
2019-07-01;indep;0.5010799136069114;4630
2019-07-01;opos;0.3383778671080634;4229
2019-08-01;coal;0.4945170814002531;9484
2019-08-01;indep;0.501628664495114;6140
2019-08-01;opos;0.22960827539426829;5897
2019-09-01;coal;0.38934954855352866;5427
2019-09-01;indep;0.45857771260997066;2728
2019-09-01;opos;0.3692215926036385;3353
2019-10-01;coal;0.5764468031336871;3957
2019-10-01;indep;0.5847416706904877;2071
2019-10-01;opos;0.636701030927835;2425
2019-11-01;coal;0.464562569213732;5418
2019-11-01;indep;0.4570909090909091;2750
2019-11-01;opos;0.46122320302648173;3172
2019-12-01;coal;0.5524261961316593;5894
2019-12-01;indep;0.5303239145416954;2902
2019-12-01;opos;0.4199278379128504;3603
2020-02-01;coal;0.501018922852984;3435
2020-02-01;indep;0.4879310344827586;1740
2020-02-01;opos;0.2666322846828262;1939
2020-03-01;coal;0.9957805907172996;237
2020-03-01;indep;0.9826086956521739;115
2020-03-01;opos;1.0;135
2020-04-01;coal;0.6247556207233627;8184
2020-04-01;indep;0.6071428571428571;3948
2020-04-01;opos;0.45692271772122345;4283
2020-05-01;coal;0.5917975776471999;8339
2020-05-01;indep;0.5708164722685075;4201
2020-05-01;opos;0.618019801980198;5050
2020-06-01;coal;0.4727272727272727;11495
2020-06-01;indep;0.4608449708325968;5657
2020-06-01;opos;0.5471145804293281;7174
2020-07-01;coal;0.5377264039319195;10987
2020-07-01;indep;0.5219391365888181;5652
2020-07-01;opos;0.582419168591224;6928
2020-08-01;coal;0.29250510352872555;3429
2020-08-01;indep;0.3062605752961083;1773
2020-08-01;opos;0.5251587689301417;2047
2020-09-01;coal;0.39086294416243655;2561
2020-09-01;indep;0.38620689655172413;1305
2020-09-01;opos;0.5284301606922126;1618
2020-11-01;coal;0.13857677902621723;1335
2020-11-01;indep;0.13661971830985917;710
2020-11-01;opos;0.6612021857923497;366
2020-12-01;coal;0.45316766253808716;25271
2020-12-01;indep;0.4283461180012904;13949
2020-12-01;opos;0.4823764417810426;15519
2021-02-01;coal;0.39893467900196244;7134
2021-02-01;indep;0.37948717948717947;3705
2021-02-01;opos;0.6905710491367862;3765
2021-03-01;coal;0.5972407358037857;15004
2021-03-01;indep;0.5542794640415641;7314
2021-03-01;opos;0.4874353288987435;8118
2021-04-01;coal;0.4136653895274585;7830
2021-04-01;indep;0.3967511690868816;4063
2021-04-01;opos;0.5486555697823303;4686
2021-05-01;coal;0.45801727539790416;22807
2021-05-01;indep;0.44615909284679;11729
2021-05-01;opos;0.44715447154471544;13407
2021-06-01;coal;0.5640247756288712;15822
2021-06-01;indep;0.5367245657568238;8060
2021-06-01;opos;0.6471535982814178;9310
2021-07-01;coal;0.7283967964029788;7117
2021-07-01;indep;0.6878690284487385;3726
2021-07-01;opos;0.7493670886075949;4345
2021-08-01;coal;0.49052263525947737;21736
2021-08-01;indep;0.46145600714604734;11195
2021-08-01;opos;0.56562154186647;13555
2021-09-01;coal;0.5460996581373666;19306
2021-09-01;indep;0.5146121953685914;9889
2021-09-01;opos;0.5699106088716478;11858
2021-10-01;coal;0.49587403964715926;10543
2021-10-01;indep;0.5092069279854148;5485
2021-10-01;opos;0.6379923008587504;6754
2021-11-01;coal;0.7030292858941009;11917
2021-11-01;indep;0.6765964732066427;5841
2021-11-01;opos;0.5126473124461052;6958
2021-12-01;coal;0.6066131317902692;10585
2021-12-01;indep;0.5811764705882353;5100
2021-12-01;opos;0.5420484293193717;6112
2022-02-01;coal;0.5873998788449889;14857
2022-02-01;indep;0.5830588855223291;7591
2022-02-01;opos;0.540990990990991;8880
2022-03-01;coal;0.5299424593308233;14077
2022-03-01;indep;0.5294230400613379;5217
2022-03-01;opos;0.5179905895377802;7226
2022-04-01;coal;0.6277970375039394;12692
2022-04-01;indep;0.6173106646058732;3235
2022-04-01;opos;0.524943112200245;5713
2022-05-01;coal;0.45268986482818524;18421
2022-05-01;indep;0.4758945789586458;4667
2022-05-01;opos;0.6644208037825059;8460
2022-06-01;coal;0.5321899080288343;8046
2022-06-01;indep;0.5311004784688995;2090
2022-06-01;opos;0.6687688511105018;3647
2022-07-01;coal;0.764366462552991;8492
2022-07-01;indep;0.7071167883211679;2192
2022-07-01;opos;0.5070074196207749;3639
2022-08-01;coal;0.5059179556153329;14870
2022-08-01;indep;0.4892143808255659;3755
2022-08-01;opos;0.5037302725968437;6970
2022-10-01;coal;0.6546112115732369;1659
2022-10-01;indep;0.625;400
2022-10-01;opos;0.5381526104417671;747
2022-11-01;coal;0.6478749560941341;5694
2022-11-01;indep;0.6194814295725298;1427
2022-11-01;opos;0.5728851963746223;2648
2022-12-01;coal;0.6565307532826538;10129
