group;model;iv_set;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls
leg55_oposicao;PLR_FE_cluster;none;0.4575;-0.1535;1.0686;0.142225;;45524;229;109
leg55_oposicao;PLIV_FE_cluster;backlog;10.7167;2.5635;18.8699;0.009987;***;45524;229;109
leg55_coalizao;PLR_FE_cluster;none;0.3197;0.1645;0.4749;5.4e-05;***;146858;536;113
leg55_coalizao;PLIV_FE_cluster;backlog;2.9796;1.3173;4.6419;0.000443;***;146858;536;113
leg55_independente;PLR_FE_cluster;none;-1.3101;-1.7327;-0.8875;0.0;***;33926;223;108
leg55_independente;PLIV_FE_cluster;backlog;-15.1617;-28.4149;-1.9084;0.024946;**;33926;223;108
leg56_oposicao;PLR_FE_cluster;none;-0.1265;-0.2803;0.0273;0.107052;;178785;164;127
leg56_oposicao;PLIV_FE_cluster;backlog;-1.1265;-2.0498;-0.2033;0.016778;**;178785;164;127
leg56_coalizao;PLR_FE_cluster;none;-0.121;-0.1806;-0.0614;6.9e-05;***;277214;376;127
leg56_coalizao;PLIV_FE_cluster;backlog;-1.6638;-2.2479;-1.0797;0.0;***;277214;376;127
leg56_independente;PLR_FE_cluster;none;-0.1121;-0.2233;-0.0009;0.048117;**;187595;328;126
leg56_independente;PLIV_FE_cluster;backlog;0.2299;-0.5913;1.051;0.583251;;187595;328;126
leg55_nao_eleicao;PLR_FE_cluster;none;0.462;0.2654;0.6586;4e-06;***;193023;601;109
leg55_nao_eleicao;PLIV_FE_cluster;backlog;2.1934;0.1565;4.2304;0.034811;**;193023;601;109
leg55_eleicao_federal;PLR_FE_cluster;none;-0.531;-0.7434;-0.3187;1e-06;***;33285;552;89
leg55_eleicao_federal;PLIV_FE_cluster;backlog;4.3604;-22.3392;31.06;0.748899;;33285;552;89
leg56_nao_eleicao;PLR_FE_cluster;none;-0.2856;-0.37;-0.2013;0.0;***;489741;581;126
leg56_nao_eleicao;PLIV_FE_cluster;backlog;-1.32;-1.8457;-0.7942;1e-06;***;489741;581;126
leg56_eleicao_federal;PLR_FE_cluster;none;0.1773;0.0981;0.2564;1.1e-05;***;153853;554;103
leg56_eleicao_federal;PLIV_FE_cluster;backlog;1.9163;1.1735;2.6592;0.0;***;153853;554;103
leg55_PEC;PLR_FE_cluster;none;0.9407;0.4979;1.3834;3.1e-05;***;36143;593;80
leg55_PEC;PLIV_FE_cluster;backlog;4.4772;2.1422;6.8121;0.000171;***;36143;593;80
leg55_MPV;PLR_FE_cluster;none;0.3954;0.1231;0.6677;0.004421;***;89431;612;92
leg55_MPV;PLIV_FE_cluster;backlog;-1.6849;-4.1668;0.7971;0.183349;;89431;612;92
leg55_PLP;PLR_FE_cluster;none;-0.058;-0.3115;0.1956;0.654085;;31438;608;85
leg55_PLP;PLIV_FE_cluster;backlog;25.1233;12.8632;37.3834;5.9e-05;***;31438;608;85
leg55_PL;PLR_FE_cluster;none;0.1643;-0.0714;0.4;0.17185;;61729;610;97
leg55_PL;PLIV_FE_cluster;backlog;1.5984;0.1921;3.0047;0.025902;**;61729;610;97
leg56_PEC;PLR_FE_cluster;none;-0.3701;-0.5697;-0.1706;0.000277;***;104160;590;92
leg56_PEC;PLIV_FE_cluster;backlog;-3.9528;-5.5667;-2.3389;2e-06;***;104160;590;92
leg56_MPV;PLR_FE_cluster;none;-0.1427;-0.2313;-0.054;0.001607;***;221033;595;104
leg56_MPV;PLIV_FE_cluster;backlog;-0.0028;-0.7054;0.6998;0.993763;;221033;595;104
leg56_PLP;PLR_FE_cluster;none;0.3299;0.1838;0.476;1e-05;***;73559;589;87
leg56_PLP;PLIV_FE_cluster;backlog;-1.6002;-2.5093;-0.6911;0.00056;***;73559;589;87
leg56_PL;PLR_FE_cluster;none;0.0511;-0.0337;0.1359;0.23721;;229206;596;109
leg56_PL;PLIV_FE_cluster;backlog;1.0564;0.4755;1.6373;0.000365;***;229206;596;109
ano2015;PLR_FE_cluster;none;1.038;0.5631;1.5129;1.8e-05;***;81650;548;92
ano2015;PLIV_FE_cluster;backlog;0.966;0.4857;1.4463;8.1e-05;***;81650;548;92
ano2016;PLR_FE_cluster;none;0.4776;0.202;0.7532;0.000683;***;52817;560;93
ano2016;PLIV_FE_cluster;backlog;-4.6712;-10.0042;0.6617;0.086017;*;52817;560;93
ano2017;PLR_FE_cluster;none;0.3808;0.1444;0.6172;0.001591;***;58556;539;95
ano2017;PLIV_FE_cluster;backlog;3.1769;-1.8156;8.1694;0.212317;;58556;539;95
ano2018;PLR_FE_cluster;none;-0.5339;-0.7478;-0.3199;1e-06;***;33285;552;89
ano2018;PLIV_FE_cluster;backlog;4.6064;-20.6999;29.9127;0.721264;;33285;552;89
ano2019;PLR_FE_cluster;none;0.0785;-0.2319;0.389;0.620071;;95387;531;101
ano2019;PLIV_FE_cluster;backlog;2.5001;0.4439;4.5563;0.017165;**;95387;531;101
ano2020;PLR_FE_cluster;none;-0.3356;-0.4775;-0.1938;4e-06;***;141558;540;98
ano2020;PLIV_FE_cluster;backlog;1.9351;0.1085;3.7617;0.037859;**;141558;540;98
ano2021;PLR_FE_cluster;none;-0.2233;-0.3265;-0.12;2.2e-05;***;252796;543;113
ano2021;PLIV_FE_cluster;backlog;-0.5758;-1.0052;-0.1463;0.008603;***;252796;543;113
ano2022;PLR_FE_cluster;none;0.1801;0.1014;0.2587;7e-06;***;153853;554;103
ano2022;PLIV_FE_cluster;backlog;1.8852;1.1459;2.6245;1e-06;***;153853;554;103
leg55_ori_Sim;PLR_FE_cluster;none;0.0851;-0.056;0.2261;0.237076;;121722;614;104
leg55_ori_Sim;PLIV_FE_cluster;backlog;-1.0094;-2.2434;0.2245;0.108856;;121722;614;104
