year;primary_total;rigid;other_mandatory;discretionary;mandatory_amend;discr_amend;total_amend;free_discr
2014;1100;720;261;119;6.09430555529;0.0;6.09430555529;112.90569444471
2015;1170;800;251;119;3.38346092345;0.0;3.38346092345;115.61653907655
2016;1290;880;297;113;10.86264653045;15.05930988664;25.92195641709;87.07804358291
2017;1340;925;290;125;12.20524277692;5.32669381647;17.53193659339;107.46806340661
2018;1390;970;290;130;11.82047367305;0.19052888276;12.01100255581;117.98899744418999
2019;1455;1025;296;134;13.25538233161;0.6076821211099999;13.86306445272;120.13693554727999
2020;1750;1140;442;168;15.72982313911;21.81090234031;37.540725479420004;130.45927452057998
2021;1620;1110;374;136;16.67900579967;16.719609211;33.39861501067;102.60138498933
2022;1830;1245;390;195;16.50913163964;8.94902427055;25.45815591019;169.54184408980998
2023;2040;1395;470;175;28.50728272261;6.8713044212300005;35.37858714384;139.62141285616
2024;2155;1475;510;170;33.08014097698;11.73421993849;44.81436091547;125.18563908453
2025;2235;1530;530;175;35.82323893912;11.24798322835;47.071222167470005;127.92877783252999
