model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;measure;leg;tercil;n_obs_tercil
PLIV_FE_cluster;backlog;-0.122293;0.132923;-3.9525;-12.3729;4.4678;0.35756;;76036;567;101;3.09405;MDS-Euclidean;55;low;76036
PLIV_FE_cluster;backlog;-0.007342;0.006983;-0.6059;-1.7354;0.5236;0.293064;;77208;582;94;1.211717;MDS-Euclidean;55;mid;77208
PLIV_FE_cluster;backlog;0.005425;0.010697;0.2749;-0.7876;1.3374;0.612088;;73064;571;99;1.973325;MDS-Euclidean;55;high;73064
PLIV_FE_cluster;backlog;-0.055888;0.024687;-2.0331;-3.7933;-0.2729;0.023579;**;307104;585;127;2.748901;MDS-Euclidean;56;low;307104
PLIV_FE_cluster;backlog;0.57908;0.433667;31.9289;-14.937;78.7949;0.181774;;129364;561;113;1.813655;MDS-Euclidean;56;mid;129364
PLIV_FE_cluster;backlog;0.00247;0.003389;0.126;-0.2128;0.4649;0.465998;;207126;552;125;1.960033;MDS-Euclidean;56;high;207126
PLIV_FE_cluster;backlog;-0.0012;0.012633;-0.087;-1.8826;1.7086;0.924335;;83343;585;100;1.379;MDS-Weak;55;low;83343
PLIV_FE_cluster;backlog;0.130486;0.035355;4.2189;1.9784;6.4595;0.000224;***;90239;601;99;3.092851;MDS-Weak;55;mid;90239
PLIV_FE_cluster;backlog;0.014198;0.009741;2.812;-0.9695;6.5934;0.144975;;52726;571;93;0.504916;MDS-Weak;55;high;52726
PLIV_FE_cluster;backlog;0.067106;0.023703;2.4022;0.7391;4.0653;0.004639;***;239890;578;128;2.793508;MDS-Weak;56;low;239890
PLIV_FE_cluster;backlog;-0.020326;0.008073;-0.8941;-1.5902;-0.1981;0.011812;**;199686;570;113;2.273257;MDS-Weak;56;mid;199686
PLIV_FE_cluster;backlog;0.059867;0.012533;4.5086;2.6587;6.3586;2e-06;***;204018;559;126;1.327839;MDS-Weak;56;high;204018
PLIV_FE_cluster;backlog;0.04503;0.015692;3.8666;1.2256;6.5076;0.00411;***;78178;583;96;1.164586;MDS-Strong;55;low;78178
PLIV_FE_cluster;backlog;0.03176;0.009911;2.3791;0.9239;3.8343;0.001353;***;77747;588;99;1.334959;MDS-Strong;55;mid;77747
PLIV_FE_cluster;backlog;-0.05178;0.035171;-1.6513;-3.8498;0.5471;0.140958;;70383;599;103;3.13563;MDS-Strong;55;high;70383
PLIV_FE_cluster;backlog;0.07473;0.046584;2.5329;-0.5618;5.6275;0.10867;;218841;583;125;2.950402;MDS-Strong;56;low;218841
PLIV_FE_cluster;backlog;0.274668;0.099598;14.4802;4.1888;24.7716;0.00582;***;240832;577;122;1.896855;MDS-Strong;56;mid;240832
PLIV_FE_cluster;backlog;0.008803;0.004447;0.4008;0.004;0.7976;0.047754;**;183921;538;121;2.196488;MDS-Strong;56;high;183921
