subgroup;pp_per_unit_gov;pval_gov;pp_per_unit_centrao;pval_centrao;analysis;measure;leg;tercil
rp9_exposed;-0.4792;0.385748;-0.0726;0.890529;T2_het;;;
rp9_not_exposed;-2.2744;0.0;-0.9318;0.01172;T2_het;;;
;-3.4118;0.155744;-3.9525;0.35756;T4_tercis;MDS-Euclidean;55.0;low
;-0.7682;0.274754;-0.6059;0.293064;T4_tercis;MDS-Euclidean;55.0;mid
;1.1333;0.07915;0.2749;0.612088;T4_tercis;MDS-Euclidean;55.0;high
;-1.5767;0.073725;-2.0331;0.023579;T4_tercis;MDS-Euclidean;56.0;low
;18.1659;0.155443;31.9289;0.181774;T4_tercis;MDS-Euclidean;56.0;mid
;0.006;0.971358;0.126;0.465998;T4_tercis;MDS-Euclidean;56.0;high
;-0.0148;0.989334;-0.087;0.924335;T4_tercis;MDS-Weak;55.0;low
;1.8699;0.022289;4.2189;0.000224;T4_tercis;MDS-Weak;55.0;mid
;4.3182;0.239141;2.812;0.144975;T4_tercis;MDS-Weak;55.0;high
;2.9289;0.001252;2.4022;0.004639;T4_tercis;MDS-Weak;56.0;low
;-1.1794;0.000219;-0.8941;0.011812;T4_tercis;MDS-Weak;56.0;mid
;1.9926;0.004745;4.5086;2e-06;T4_tercis;MDS-Weak;56.0;high
;-0.8606;0.537195;3.8666;0.00411;T4_tercis;MDS-Strong;55.0;low
;2.8288;0.001811;2.3791;0.001353;T4_tercis;MDS-Strong;55.0;mid
;-2.0358;0.065781;-1.6513;0.140958;T4_tercis;MDS-Strong;55.0;high
;3.0933;0.062866;2.5329;0.10867;T4_tercis;MDS-Strong;56.0;low
;6.1795;0.052606;14.4802;0.00582;T4_tercis;MDS-Strong;56.0;mid
;-0.039;0.844842;0.4008;0.047754;T4_tercis;MDS-Strong;56.0;high
