model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;measure;leg;tercil;n_obs_tercil
PLIV_FE_cluster;backlog;-0.105563;0.074365;-3.4118;-8.1226;1.299;0.155744;;76036;567;101;3.09405;MDS-Euclidean;55;low;76036
PLIV_FE_cluster;backlog;-0.009308;0.008522;-0.7682;-2.1467;0.6104;0.274754;;77208;582;94;1.211717;MDS-Euclidean;55;mid;77208
PLIV_FE_cluster;backlog;0.022364;0.012739;1.1333;-0.1319;2.3986;0.07915;*;73064;571;99;1.973325;MDS-Euclidean;55;high;73064
PLIV_FE_cluster;backlog;-0.043342;0.024236;-1.5767;-3.3048;0.1514;0.073725;*;307104;585;127;2.748901;MDS-Euclidean;56;low;307104
PLIV_FE_cluster;backlog;0.329467;0.231926;18.1659;-6.8982;43.2299;0.155443;;129364;561;113;1.813655;MDS-Euclidean;56;mid;129364
PLIV_FE_cluster;backlog;0.000117;0.00326;0.006;-0.32;0.3319;0.971358;;207126;552;125;1.960033;MDS-Euclidean;56;high;207126
PLIV_FE_cluster;backlog;-0.000205;0.01531;-0.0148;-2.1909;2.1612;0.989334;;83343;585;100;1.379;MDS-Weak;55;low;83343
PLIV_FE_cluster;backlog;0.057834;0.025306;1.8699;0.2662;3.4736;0.022289;**;90239;601;99;3.092851;MDS-Weak;55;mid;90239
PLIV_FE_cluster;backlog;0.021803;0.018522;4.3182;-2.8718;11.5082;0.239141;;52726;571;93;0.504916;MDS-Weak;55;high;52726
PLIV_FE_cluster;backlog;0.081819;0.025357;2.9289;1.1498;4.708;0.001252;***;239890;578;128;2.793508;MDS-Weak;56;low;239890
PLIV_FE_cluster;backlog;-0.02681;0.007253;-1.1794;-1.8047;-0.554;0.000219;***;199686;570;113;2.273257;MDS-Weak;56;mid;199686
PLIV_FE_cluster;backlog;0.026458;0.00937;1.9926;0.6095;3.3756;0.004745;***;204018;559;126;1.327839;MDS-Weak;56;high;204018
PLIV_FE_cluster;backlog;-0.010022;0.016242;-0.8606;-3.5941;1.8729;0.537195;;78178;583;96;1.164586;MDS-Strong;55;low;78178
PLIV_FE_cluster;backlog;0.037763;0.012105;2.8288;1.0515;4.6061;0.001811;***;77747;588;99;1.334959;MDS-Strong;55;mid;77747
PLIV_FE_cluster;backlog;-0.063834;0.034694;-2.0358;-4.2044;0.1329;0.065781;*;70383;599;103;3.13563;MDS-Strong;55;high;70383
PLIV_FE_cluster;backlog;0.091266;0.049064;3.0933;-0.1661;6.3527;0.062866;*;218841;583;125;2.950402;MDS-Strong;56;low;218841
PLIV_FE_cluster;backlog;0.117216;0.060479;6.1795;-0.0697;12.4287;0.052606;*;240832;577;122;1.896855;MDS-Strong;56;mid;240832
PLIV_FE_cluster;backlog;-0.000857;0.004379;-0.039;-0.4298;0.3518;0.844842;;183921;538;121;2.196488;MDS-Strong;56;high;183921
