model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;category;group
PLIV_FE_cluster;backlog;-0.127469;0.017891;-5.7108;-7.2819;-4.1398;0.0;***;289483;834;144;2.232058;R2.2_align_hist;hist_low
PLIV_FE_cluster;backlog;-0.046254;0.008371;-1.8628;-2.5235;-1.202;0.0;***;378728;931;144;2.483054;R2.2_align_hist;hist_mid
PLIV_FE_cluster;backlog;-0.071745;0.009777;-2.945;-3.7316;-2.1584;0.0;***;201691;827;142;2.436124;R2.2_align_hist;hist_high
PLIV_FE_cluster;backlog;0.022892;0.015687;1.2487;-0.4285;2.926;0.144501;;29512;906;110;1.833202;R2.4_margin;margin_close
PLIV_FE_cluster;backlog;0.051874;0.038657;2.0874;-0.9615;5.1364;0.179623;;108150;920;122;2.485048;R2.4_margin;margin_moderate
PLIV_FE_cluster;backlog;-0.053745;0.006976;-2.1952;-2.7537;-1.6368;0.0;***;732240;931;142;2.448266;R2.4_margin;margin_lopsided
PLIV_FE_cluster;backlog;-0.004205;0.010341;-0.3625;-2.1098;1.3848;0.684299;;17241;587;98;1.160013;R2.4_margin;leg55_margin_close
PLIV_FE_cluster;backlog;-0.027376;0.014499;-1.2323;-2.5115;0.0469;0.059008;*;36243;604;101;2.221478;R2.4_margin;leg55_margin_moderate
PLIV_FE_cluster;backlog;0.028471;0.01015;1.154;0.3476;1.9603;0.005031;***;172824;614;115;2.46729;R2.4_margin;leg55_margin_lopsided
PLIV_FE_cluster;backlog;0.021895;0.022795;0.9575;-0.9963;2.9114;0.336788;;12271;590;97;2.286645;R2.4_margin;leg56_margin_close
PLIV_FE_cluster;backlog;0.003902;0.015319;0.1522;-1.0186;1.3229;0.79894;;71907;594;111;2.564461;R2.4_margin;leg56_margin_moderate
PLIV_FE_cluster;backlog;-0.037054;0.005462;-1.5248;-1.9653;-1.0842;0.0;***;559416;597;132;2.430112;R2.4_margin;leg56_margin_lopsided
PLIV_FE_cluster;backlog;0.035333;0.013047;1.8372;0.5076;3.1669;0.006766;***;86113;560;116;1.923126;R2.2_align_hist;leg55_hist_low
PLIV_FE_cluster;backlog;-0.002006;0.014117;-0.0861;-1.2733;1.1011;0.88701;;81419;614;118;2.330625;R2.2_align_hist;leg55_hist_mid
PLIV_FE_cluster;backlog;-0.034724;0.012489;-1.3775;-2.3485;-0.4065;0.005428;***;58776;562;116;2.52083;R2.2_align_hist;leg55_hist_high
PLIV_FE_cluster;backlog;-0.007132;0.007676;-0.3076;-0.9563;0.3412;0.352803;;203370;508;134;2.318884;R2.2_align_hist;leg56_hist_low
PLIV_FE_cluster;backlog;-0.021187;0.005875;-0.848;-1.3089;-0.3871;0.00031;***;297309;547;132;2.498351;R2.2_align_hist;leg56_hist_mid
PLIV_FE_cluster;backlog;-0.070313;0.011312;-2.9683;-3.9044;-2.0323;0.0;***;142915;466;130;2.36876;R2.2_align_hist;leg56_hist_high
