model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;group;category
PLIV_FE_cluster;backlog;-0.064958;0.037431;-2.5461;-5.4216;0.3295;0.082664;*;122207;120;131;2.551337;UF_SP_legall;A_UF
PLIV_FE_cluster;backlog;0.10046;0.056267;3.6439;-0.3563;7.6441;0.074196;*;31514;83;103;2.756944;UF_SP_leg55;A_UF
PLIV_FE_cluster;backlog;-0.015751;0.019289;-0.6401;-2.1763;0.8962;0.414148;;90693;79;123;2.460954;UF_SP_leg56;A_UF
PLIV_FE_cluster;backlog;-0.026201;0.033827;-1.1656;-4.115;1.7838;0.43859;;87666;88;135;2.247887;UF_MG_legall;A_UF
PLIV_FE_cluster;backlog;0.114575;0.037169;4.9925;1.818;8.167;0.002053;***;23276;60;109;2.294947;UF_MG_leg55;A_UF
PLIV_FE_cluster;backlog;-0.03134;0.012664;-1.4154;-2.5364;-0.2944;0.01333;**;64390;57;123;2.214232;UF_MG_leg56;A_UF
PLIV_FE_cluster;backlog;0.024567;0.045442;1.0865;-2.8525;5.0255;0.588763;;79385;93;136;2.26112;UF_RJ_legall;A_UF
PLIV_FE_cluster;backlog;0.037451;0.042312;2.1261;-2.5818;6.8339;0.376088;;20491;58;109;1.761536;UF_RJ_leg55;A_UF
PLIV_FE_cluster;backlog;0.008217;0.028442;0.3442;-1.9908;2.6792;0.772641;;58894;57;124;2.387345;UF_RJ_leg56;A_UF
PLIV_FE_cluster;backlog;-0.075175;0.04305;-2.9321;-6.2231;0.3589;0.08077;*;64608;62;129;2.563843;UF_BA_legall;A_UF
PLIV_FE_cluster;backlog;0.027356;0.090587;1.0306;-5.6583;7.7196;0.76266;;17104;44;102;2.65438;UF_BA_leg55;A_UF
PLIV_FE_cluster;backlog;-0.013341;0.02012;-0.5292;-2.0933;1.035;0.50726;;47504;44;123;2.521152;UF_BA_leg56;A_UF
PLIV_FE_cluster;backlog;-0.054984;0.038122;-2.2876;-5.3962;0.821;0.149211;;55236;54;128;2.403607;UF_RS_legall;A_UF
PLIV_FE_cluster;backlog;-0.053339;0.027653;-2.4153;-4.8696;0.0389;0.053742;*;50517;52;128;2.20836;UF_PR_legall;A_UF
PLIV_FE_cluster;backlog;-0.135239;0.042852;-5.4317;-8.8051;-2.0583;0.0016;***;40379;45;128;2.489811;UF_PE_legall;A_UF
PLIV_FE_cluster;backlog;-0.170973;0.087352;-6.2789;-12.5666;0.0087;0.050314;*;36106;45;127;2.722961;UF_CE_legall;A_UF
PLIV_FE_cluster;backlog;-0.123425;0.030429;-5.1402;-7.624;-2.6564;5e-05;***;108628;119;132;2.401181;reg_N_legall;B_Region
PLIV_FE_cluster;backlog;-0.009098;0.047289;-0.4318;-4.8312;3.9675;0.847437;;28042;73;106;2.106824;reg_N_leg55;B_Region
PLIV_FE_cluster;backlog;-0.05899;0.014615;-2.3801;-3.5359;-1.2244;5.4e-05;***;80586;75;123;2.478441;reg_N_leg56;B_Region
PLIV_FE_cluster;backlog;-0.113748;0.022828;-4.4058;-6.1388;-2.6727;1e-06;***;245499;275;133;2.581781;reg_NE_legall;B_Region
PLIV_FE_cluster;backlog;0.010712;0.042477;0.4384;-2.969;3.8458;0.800904;;64498;186;106;2.443367;reg_NE_leg55;B_Region
PLIV_FE_cluster;backlog;-0.026332;0.011889;-1.0078;-1.8997;-0.1159;0.026773;**;181001;183;125;2.612774;reg_NE_leg56;B_Region
