model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;scenario;legis
PLIV_FE_cluster;backlog;-0.065759;0.011352;-2.6921;-3.6029;-1.7812;0.0;***;869902;931;142;2.442717;baseline;all
PLIV_FE_cluster;backlog;0.043648;0.017557;1.8305;0.3874;3.2737;0.012916;**;226308;614;116;2.38442;baseline;55
PLIV_FE_cluster;backlog;-0.022351;0.005376;-0.9136;-1.3444;-0.4829;3.2e-05;***;643594;597;132;2.446335;baseline;56
PLIV_FE_cluster;backlog;-0.036292;0.01389;-1.4864;-2.6015;-0.3714;0.008981;***;833071;927;142;2.441531;no_honeymoon_55;all
PLIV_FE_cluster;backlog;0.036731;0.016165;1.5562;0.2139;2.8985;0.02307;**;189477;609;116;2.360333;no_honeymoon_55;55
PLIV_FE_cluster;backlog;-0.023127;0.005334;-0.9454;-1.3727;-0.518;1.5e-05;***;643594;597;132;2.446335;no_honeymoon_55;56
PLIV_FE_cluster;backlog;-0.06164;0.011345;-2.5025;-3.4053;-1.5997;0.0;***;841945;930;142;2.463104;no_honeymoon_56;all
PLIV_FE_cluster;backlog;0.049458;0.017841;2.0742;0.6077;3.5407;0.005569;***;226308;614;116;2.38442;no_honeymoon_56;55
PLIV_FE_cluster;backlog;-0.013277;0.004214;-0.5371;-0.8712;-0.203;0.001628;***;615637;596;131;2.471953;no_honeymoon_56;56
PLIV_FE_cluster;backlog;-0.063083;0.011705;-2.619;-3.5716;-1.6665;0.0;***;812038;931;142;2.408619;no_pandemic;all
PLIV_FE_cluster;backlog;0.046763;0.01761;1.9612;0.5136;3.4087;0.007921;***;226308;614;116;2.38442;no_pandemic;55
PLIV_FE_cluster;backlog;-0.01725;0.00646;-0.7175;-1.2442;-0.1908;0.00758;***;585730;596;132;2.404017;no_pandemic;56
PLIV_FE_cluster;backlog;-0.075701;0.010362;-3.1143;-3.9498;-2.2788;0.0;***;747250;926;142;2.430742;no_atypical;all
PLIV_FE_cluster;backlog;0.035439;0.015772;1.5014;0.1917;2.8111;0.024646;**;189477;609;116;2.360333;no_atypical;55
PLIV_FE_cluster;backlog;-0.004963;0.004872;-0.2037;-0.5958;0.1883;0.308404;;557773;595;131;2.435845;no_atypical;56
