coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;spec;window;legis;model;iv_set
0.002276;0.000413;0.00091368;0.00016593;0.0914;0.2276;0.0;***;869902;2.49054;reduced;pre;all;PLR;none
-0.019137;0.003852;-0.00768392;0.00154669;-0.7684;-1.9137;1e-06;***;869902;2.49054;reduced;pre;all;PLIV;fiscal
0.048711;0.003669;0.01955855;0.00147321;1.9559;4.8711;0.0;***;869902;2.49054;reduced;pre;all;PLIV;backlog
0.0146;0.000806;0.00597644;0.00033012;0.5976;1.46;0.0;***;226308;2.442987;reduced;pre;55;PLR;none
0.046469;0.006368;0.01902157;0.00260676;1.9022;4.6469;0.0;***;226308;2.442987;reduced;pre;55;PLIV;fiscal
0.051545;0.002634;0.02109912;0.00107829;2.1099;5.1545;0.0;***;226308;2.442987;reduced;pre;55;PLIV;backlog
-0.004375;0.000454;-0.00175264;0.00018179;-0.1753;-0.4375;0.0;***;643594;2.496439;reduced;pre;56;PLR;none
-0.00732;0.003322;-0.00293203;0.00133085;-0.2932;-0.732;0.027586;**;643594;2.496439;reduced;pre;56;PLIV;fiscal
-0.051588;0.003382;-0.02066478;0.00135461;-2.0665;-5.1588;0.0;***;643594;2.496439;reduced;pre;56;PLIV;backlog
-0.00137;0.000424;-0.00055108;0.00017048;-0.0551;-0.137;0.001227;***;715753;2.485363;full;pre;all;PLR;none
0.01232;0.004437;0.00495712;0.00178509;0.4957;1.232;0.005487;***;715753;2.485363;full;pre;all;PLIV;fiscal
-0.022629;0.004083;-0.00910492;0.0016427;-0.9105;-2.2629;0.0;***;715753;2.485363;full;pre;all;PLIV;backlog
0.002873;0.00067;0.00120342;0.00028058;0.1203;0.2873;1.8e-05;***;224780;2.387691;full;pre;55;PLR;none
-0.025252;0.005571;-0.01057588;0.00233326;-1.0576;-2.5252;6e-06;***;224780;2.387691;full;pre;55;PLIV;fiscal
0.003172;0.00449;0.00132829;0.00188031;0.1328;0.3172;0.479925;;224780;2.387691;full;pre;55;PLIV;backlog
-0.003406;0.000494;-0.00135487;0.0001965;-0.1355;-0.3406;0.0;***;490973;2.513787;full;pre;56;PLR;none
0.067273;0.003832;0.02676153;0.00152444;2.6762;6.7273;0.0;***;490973;2.513787;full;pre;56;PLIV;fiscal
-0.026422;0.003717;-0.0105109;0.00147878;-1.0511;-2.6422;0.0;***;490973;2.513787;full;pre;56;PLIV;backlog
0.006959;0.000416;0.00220175;0.00013157;0.2202;0.6959;0.0;***;869902;3.160766;reduced;sym;all;PLR;none
-0.103184;0.005026;-0.03264536;0.00159002;-3.2645;-10.3184;0.0;***;869902;3.160766;reduced;sym;all;PLIV;fiscal
-0.061311;0.003924;-0.01939763;0.00124162;-1.9398;-6.1311;0.0;***;869902;3.160766;reduced;sym;all;PLIV;backlog
0.025361;0.000815;0.00777211;0.00024986;0.7772;2.5361;0.0;***;226308;3.263072;reduced;sym;55;PLR;none
0.270843;0.015345;0.08300234;0.00470269;8.3002;27.0843;0.0;***;226308;3.263072;reduced;sym;55;PLIV;fiscal
0.067943;0.003419;0.0208219;0.0010477;2.0822;6.7943;0.0;***;226308;3.263072;reduced;sym;55;PLIV;backlog
-0.00263;0.000459;-0.00084503;0.00014761;-0.0845;-0.263;0.0;***;643594;3.112558;reduced;sym;56;PLR;none
-0.027454;0.002899;-0.00882031;0.00093138;-0.882;-2.7454;0.0;***;643594;3.112558;reduced;sym;56;PLIV;fiscal
-0.027663;0.002072;-0.00888756;0.00066566;-0.8888;-2.7663;0.0;***;643594;3.112558;reduced;sym;56;PLIV;backlog
0.002994;0.000421;0.00094558;0.00013298;0.0946;0.2994;0.0;***;715753;3.165857;full;sym;all;PLR;none
0.010731;0.006164;0.00338964;0.00194711;0.339;1.0731;0.081709;*;715753;3.165857;full;sym;all;PLIV;fiscal
-0.056933;0.002911;-0.01798347;0.00091946;-1.7983;-5.6933;0.0;***;715753;3.165857;full;sym;all;PLIV;backlog
0.011755;0.000868;0.0036595;0.00027029;0.3659;1.1755;0.0;***;224780;3.212264;full;sym;55;PLR;none
0.245201;0.01443;0.07633284;0.00449223;7.6333;24.5201;0.0;***;224780;3.212264;full;sym;55;PLIV;fiscal
0.141616;0.025712;0.044086;0.00800444;4.4086;14.1616;0.0;***;224780;3.212264;full;sym;55;PLIV;backlog
-0.00188;0.000498;-0.00060126;0.00015922;-0.0601;-0.188;0.000159;***;490973;3.126323;full;sym;56;PLR;none
0.054391;0.003414;0.01739788;0.00109207;1.7398;5.4391;0.0;***;490973;3.126323;full;sym;56;PLIV;fiscal
-0.012285;0.002106;-0.00392964;0.00067377;-0.393;-1.2285;0.0;***;490973;3.126323;full;sym;56;PLIV;backlog
