var;coef;se;tstat;pval;sample;outcome
const;0.129504;0.001071;120.964;0.0;leg55;gov
pol_paper_euclidean_mds;0.000792;0.000165;4.807;2e-06;leg55;gov
pol_paper_forte_mds;0.062351;0.001695;36.775;0.0;leg55;gov
pol_paper_fraca_mds;-3.777956;0.043307;-87.236;0.0;leg55;gov
const;-0.056255;0.000972;-57.848;0.0;leg55;pres
pol_paper_euclidean_mds;0.000958;0.000267;3.591;0.00033;leg55;pres
pol_paper_forte_mds;0.043668;0.001434;30.451;0.0;leg55;pres
pol_paper_fraca_mds;-0.295046;0.032933;-8.959;0.0;leg55;pres
const;0.0836;0.001183;70.672;0.0;leg55;centrao
pol_paper_euclidean_mds;0.00179;0.00013;13.759;0.0;leg55;centrao
pol_paper_forte_mds;0.044398;0.001466;30.284;0.0;leg55;centrao
pol_paper_fraca_mds;-3.099794;0.039382;-78.712;0.0;leg55;centrao
const;0.159459;0.0047;33.93;0.0;leg56_maia;gov
pol_paper_euclidean_mds;0.005204;0.000403;12.911;0.0;leg56_maia;gov
pol_paper_forte_mds;-0.5089;0.016218;-31.378;0.0;leg56_maia;gov
pol_paper_fraca_mds;4.086912;0.19951;20.485;0.0;leg56_maia;gov
const;0.057732;0.003386;17.051;0.0;leg56_maia;pres
pol_paper_euclidean_mds;-0.004889;0.000384;-12.723;0.0;leg56_maia;pres
pol_paper_forte_mds;-0.380225;0.012534;-30.336;0.0;leg56_maia;pres
pol_paper_fraca_mds;5.545484;0.158979;34.882;0.0;leg56_maia;pres
const;0.10473;0.005228;20.033;0.0;leg56_maia;centrao
pol_paper_euclidean_mds;0.001418;0.000385;3.683;0.00023;leg56_maia;centrao
pol_paper_forte_mds;-0.563712;0.016543;-34.076;0.0;leg56_maia;centrao
pol_paper_fraca_mds;3.74046;0.201401;18.572;0.0;leg56_maia;centrao
const;0.053284;0.001837;29.003;0.0;leg56_lira;gov
pol_paper_euclidean_mds;0.010638;0.000438;24.313;0.0;leg56_lira;gov
pol_paper_forte_mds;-0.229852;0.009939;-23.127;0.0;leg56_lira;gov
pol_paper_fraca_mds;-1.293661;0.166271;-7.78;0.0;leg56_lira;gov
const;0.051592;0.001438;35.876;0.0;leg56_lira;pres
pol_paper_euclidean_mds;0.009544;0.000355;26.862;0.0;leg56_lira;pres
pol_paper_forte_mds;-0.126695;0.008901;-14.234;0.0;leg56_lira;pres
pol_paper_fraca_mds;-3.458842;0.174307;-19.843;0.0;leg56_lira;pres
const;0.087834;0.002745;31.995;0.0;leg56_lira;centrao
pol_paper_euclidean_mds;0.022221;0.000729;30.475;0.0;leg56_lira;centrao
pol_paper_forte_mds;-0.464593;0.015852;-29.308;0.0;leg56_lira;centrao
pol_paper_fraca_mds;-6.181555;0.238986;-25.866;0.0;leg56_lira;centrao
