model;iv_set;coef_sd;se_sd_cluster;pp_per_unit;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters;n_controls;std_T;subgroup;period;seed
PLIV_FE_cluster;backlog;-0.022553;0.005304;-0.921;-1.3455;-0.4964;2.1e-05;***;641139;597;132;2.448892;no_mesa;pooled;0
PLIV_FE_cluster;backlog;-0.001397;0.008311;-0.0702;-0.8885;0.7482;0.866552;;234490;549;112;1.990521;no_mesa;pre_lira;0
PLIV_FE_cluster;backlog;0.007887;0.004367;0.2994;-0.0256;0.6244;0.070954;*;406649;569;122;2.634182;no_mesa;post_lira;0
PLIV_FE_cluster;backlog;-0.011596;0.009764;-0.4733;-1.2543;0.3078;0.234984;;217061;263;131;2.45031;tier2;pooled;0
PLIV_FE_cluster;backlog;-0.006302;0.014493;-0.3237;-1.7831;1.1356;0.663697;;66028;165;111;1.946491;tier2;pre_lira;0
PLIV_FE_cluster;backlog;0.0042;0.007196;0.1606;-0.3788;0.7;0.559447;;151033;233;121;2.615047;tier2;post_lira;0
PLIV_FE_cluster;backlog;-0.024029;0.007632;-0.992;-1.6096;-0.3744;0.001642;***;426533;522;132;2.422271;no_tier2;pooled;0
PLIV_FE_cluster;backlog;-0.000158;0.00999;-0.0079;-0.9886;0.9728;0.987381;;170917;418;112;1.99665;no_tier2;pre_lira;0
PLIV_FE_cluster;backlog;0.010642;0.005503;0.4062;-0.0055;0.8179;0.05313;*;255616;425;122;2.620035;no_tier2;post_lira;0
PLIV_FE_cluster;backlog;-0.022536;0.005315;-0.9203;-1.3457;-0.4948;2.2e-05;***;641139;597;132;2.448892;no_mesa;pooled;42
PLIV_FE_cluster;backlog;-0.00158;0.00834;-0.0794;-0.9006;0.7418;0.84971;;234490;549;112;1.990521;no_mesa;pre_lira;42
PLIV_FE_cluster;backlog;0.007508;0.004353;0.285;-0.0388;0.6089;0.084542;*;406649;569;122;2.634182;no_mesa;post_lira;42
PLIV_FE_cluster;backlog;-0.011653;0.00968;-0.4756;-1.2499;0.2988;0.228687;;217061;263;131;2.45031;tier2;pooled;42
PLIV_FE_cluster;backlog;-0.007017;0.014632;-0.3605;-1.8339;1.1129;0.631564;;66028;165;111;1.946491;tier2;pre_lira;42
PLIV_FE_cluster;backlog;0.004682;0.007369;0.179;-0.3733;0.7314;0.525209;;151033;233;121;2.615047;tier2;post_lira;42
PLIV_FE_cluster;backlog;-0.024133;0.007553;-0.9963;-1.6074;-0.3852;0.001397;***;426533;522;132;2.422271;no_tier2;pooled;42
PLIV_FE_cluster;backlog;-0.000129;0.01004;-0.0065;-0.992;0.9791;0.989743;;170917;418;112;1.99665;no_tier2;pre_lira;42
PLIV_FE_cluster;backlog;0.010055;0.005634;0.3838;-0.0377;0.8052;0.074287;*;255616;425;122;2.620035;no_tier2;post_lira;42
