variable;composition;coefficient
T (emenda);0.002199370213745716;-0.012950534539211307
d_coalizao;-0.05003604168878549;-0.0668321169024672
d_oposicao;-0.023556215731040466;-0.042462230383724556
d_elec_federal;0.002549038604678557;-0.012768041476425778
d_elec_municipal;-0.0008329738493367129;-0.011576501458719371
idade;0.000708922301947195;-0.05249090444188095
tamanho_partido;0.000279037270429322;0.010984796685827162
intercept;0.0;0.2841920152117404
TOTAL;-0.06868886287836187;0.09609648269513843
GAP_OBSERVED;;0.02740761981686668
