pol_metric;legis;beta_T;se_T;pp_per_unit_T;delta_TxPol;se_delta;pp_delta_per_sd_pol;p_interaction;stars;gamma_pol;se_gamma;n_obs;n_clusters
pol_simple;pooled;-5.447803611563457e-05;0.00032043751489747884;-0.005447803611563456;1.470165413840405e-05;0.0004295408943062236;0.001470165413840405;0.9726965856175398;;-0.07343201523324923;0.005036936370093943;869902;931
pol_simple;leg55;0.0012361971754494252;0.0008420626137428344;0.12361971754494253;-0.000913724948810206;0.0005551922200534535;-0.09137249488102059;0.09980880285819389;*;-0.071506618340325;0.003065344218116139;226308;614
pol_simple;leg56;-0.0007662109330419293;0.0002895035759741463;-0.07662109330419294;0.0006340085612558523;0.0005327700117228425;0.06340085612558523;0.23403735695172445;;-0.07643203045684663;0.006336801849797162;643594;597
pol_jaccard;pooled;0.000267767915676798;0.0003218116422840782;0.026776791567679797;-0.0012465187101317447;0.0004885497272463578;-0.12465187101317447;0.010727035413814874;**;-0.05878609259395833;0.005554137254314259;869902;931
pol_jaccard;leg55;0.002399702379777755;0.000828534274029908;0.2399702379777755;-0.0022646859143195357;0.0008489838310661463;-0.22646859143195358;0.007641211819423691;***;-0.03924250680508978;0.0045688125184327666;226308;614
pol_jaccard;leg56;-0.0008010406405232433;0.0002898227094576987;-0.08010406405232433;0.00026847184088347244;0.0005252365839411693;0.026847184088347246;0.6092498114321653;;-0.07059922907766412;0.006655995437980267;643594;597
pol_paper_euclidean_mds;pooled;-0.0006573237362355029;0.00032782092640513933;-0.06573237362355029;-0.0018381152818353827;0.0004332969021287614;-0.18381152818353827;2.2137764172647878e-05;***;-0.015232149548958174;0.002817118646717863;869902;931
pol_paper_euclidean_mds;leg55;0.001562990607009124;0.0008650358882438672;0.1562990607009124;0.001937739952508862;0.0008357016344292771;0.1937739952508862;0.02041140119995841;**;-0.032139367702000876;0.004052976785569791;226308;614
pol_paper_euclidean_mds;leg56;-0.0004562451204779265;0.00031819293750258437;-0.04562451204779265;0.0019193797672900598;0.0004838810505007756;0.19193797672900598;7.28943322460101e-05;***;-0.005395276569238417;0.001504145839572214;643594;597
pol_paper_forte_mds;pooled;-9.196911390616452e-06;0.0003351099150091293;-0.0009196911390616452;-0.0035129395393577122;0.0005045756339401703;-0.35129395393577123;3.3507930907269603e-12;***;0.010308924511788104;0.0014535798545084065;869902;931
pol_paper_forte_mds;leg55;0.0031664834742138794;0.0009686631016415256;0.3166483474213879;-0.0033931184312771586;0.0009093194142142194;-0.33931184312771584;0.00019034879694888418;***;0.010442986542726542;0.0016768259567202064;226308;614
pol_paper_forte_mds;leg56;-0.0008300934948507513;0.0003158715485656096;-0.08300934948507513;-0.0006095099270436925;0.00032040163475077234;-0.06095099270436925;0.057127909733930046;*;-0.0030576750436601833;0.0013441919446111896;643594;597
pol_paper_fraca_mds;pooled;-6.138687737248479e-05;0.00032603512880106944;-0.006138687737248479;-0.0025253721354454497;0.0003681529270656973;-0.25253721354454495;6.906634070947231e-12;***;-0.012371327802152124;0.0012735306094771451;869902;931
pol_paper_fraca_mds;leg55;0.0014664708585634455;0.0008062145571937461;0.14664708585634456;-0.003069281041767481;0.0006939507638574931;-0.3069281041767481;9.738078915371593e-06;***;-0.0218932635139931;0.0021835170395127466;226308;614
pol_paper_fraca_mds;leg56;-0.0010121697118037384;0.000302760805655477;-0.10121697118037384;-0.002336185498825003;0.00042001799600965937;-0.2336185498825003;2.6653509185536506e-08;***;-0.006657516779969609;0.0014795557743076061;643594;597
