spec;regressor;coef_R$M;se_R$M;t;pval;stars
pooled_status_partidario;d_oposicao;-0.0275;0.0063;-4.37;0.0;***
pooled_status_partidario;d_independente;0.014;0.0065;2.14;0.0326;**
pooled_align_hist;d_align_low;-0.2004;0.0068;-29.44;0.0;***
pooled_align_hist;d_align_high;-0.1495;0.0068;-21.89;0.0;***
pooled_combo;d_oposicao;-0.0037;0.0065;-0.57;0.5684;
pooled_combo;d_independente;0.0184;0.0066;2.79;0.0053;***
pooled_combo;d_elec_federal;0.0047;0.0069;0.68;0.494;
pooled_combo;d_elec_municipal;0.0812;0.0067;12.16;0.0;***
leg55_status_partidario;d_oposicao;-0.3184;0.0113;-28.08;0.0;***
leg55_status_partidario;d_independente;0.3629;0.0167;21.73;0.0;***
leg55_align_hist;d_align_low;-0.0552;0.0118;-4.66;0.0;***
leg55_align_hist;d_align_high;0.7102;0.0131;54.29;0.0;***
leg55_combo;d_oposicao;0.0176;0.0132;1.33;0.1825;
leg55_combo;d_independente;-0.0217;0.0147;-1.48;0.1386;
leg55_combo;d_elec_federal;-0.1402;0.0147;-9.55;0.0;***
leg55_combo;d_elec_municipal;0.1459;0.0129;11.3;0.0;***
leg56_status_partidario;d_oposicao;-0.0437;0.0075;-5.81;0.0;***
leg56_status_partidario;d_independente;-0.1636;0.0074;-22.01;0.0;***
leg56_align_hist;d_align_low;-0.1665;0.0082;-20.33;0.0;***
leg56_align_hist;d_align_high;-0.4075;0.0081;-50.2;0.0;***
leg56_combo;d_oposicao;-0.0026;0.0076;-0.34;0.7331;
leg56_combo;d_independente;0.0068;0.0076;0.89;0.3717;
leg56_combo;d_elec_federal;-0.2032;0.0078;-26.13;0.0;***
leg56_combo;d_elec_municipal;0.071;0.0079;9.02;0.0;***
