leg;group;n;mean_emenda_R$M;median_emenda_R$M;%_zero
pooled;oposicao;224309;1.61;0.455;39.2
pooled;coalizao;424072;1.637;0.104;45.2
pooled;independente;221521;1.651;0.382;39.9
pooled;elec_federal;187138;2.685;0.791;28.9
pooled;elec_municipal;194375;2.089;1.307;16.0
leg55;oposicao;45524;0.991;0.0;59.7
leg55;coalizao;146858;1.309;0.0;52.5
leg55;independente;33926;1.672;0.13;44.9
leg55;elec_federal;33285;3.914;3.005;16.2
leg55;elec_municipal;52817;1.728;0.652;27.1
leg56;oposicao;178785;1.767;0.71;34.0
leg56;coalizao;277214;1.811;0.297;41.3
leg56;independente;187595;1.648;0.445;39.0
leg56;elec_federal;153853;2.419;0.53;31.7
leg56;elec_municipal;141558;2.224;1.58;11.8
