spec;legis;model;iv_set;pp_per_unit;se_cluster_pp;ci95_lo_pp;ci95_hi_pp;pval;stars;n_obs;n_clusters
reduced;all;PLR;none;0.0843;0.0584;-0.0303;0.1989;0.148;;869902;931
reduced;all;PLIV;backlog;1.9829;0.7938;0.4271;3.5387;0.013;**;869902;931
reduced;55;PLR;none;0.6132;0.1364;0.3459;0.8805;0.000;***;226308;614
reduced;55;PLIV;backlog;2.1610;0.6067;0.9719;3.3501;0.000;***;226308;614
reduced;56;PLR;none;-0.1783;0.0573;-0.2906;-0.0660;0.002;***;643594;597
reduced;56;PLIV;backlog;-2.0552;0.4185;-2.8755;-1.2349;0.000;***;643594;597
full_clean;all;PLR;none;-0.0221;0.0500;-0.1201;0.0759;0.658;;869902;931
full_clean;all;PLIV;backlog;-1.7729;0.5734;-2.8968;-0.6491;0.002;***;869902;931
full_clean;55;PLR;none;0.1254;0.0997;-0.0700;0.3208;0.208;;226308;614
full_clean;55;PLIV;backlog;0.6701;0.6842;-0.6710;2.0112;0.327;;226308;614
full_clean;56;PLR;none;-0.1203;0.0545;-0.2271;-0.0135;0.027;**;643594;597
full_clean;56;PLIV;backlog;-1.6532;0.4044;-2.4458;-0.8606;0.000;***;643594;597
