coef_sd;se_sd;coef_per_unit;se_per_unit;pp_per_unit;pp_per_sd;pval;stars;n_obs;std_T;learner;n_folds;spec;legis;n_controls;model;iv_set;elapsed_s
-0.00244;0.00097;-0.00097926;0.00038945;-0.0979;-0.244;0.011921;**;143225;2.491282;elasticnet;3;full;all;146;PLR;none;130
-0.019366;0.010313;-0.00777353;0.00413955;-0.7774;-1.9366;0.060399;*;143225;2.491282;elasticnet;3;full;all;146;PLIV;backlog;230
0.004392;0.001784;0.00183316;0.00074458;0.1833;0.4392;0.013817;**;45009;2.395661;elasticnet;3;full;55;120;PLR;none;29
0.037933;0.01151;0.01583395;0.0048045;1.5834;3.7933;0.000982;***;45009;2.395661;elasticnet;3;full;55;120;PLIV;backlog;56
-0.004338;0.001161;-0.00172148;0.00046074;-0.1721;-0.4338;0.000187;***;98216;2.519645;elasticnet;3;full;56;136;PLR;none;92
-0.028987;0.009467;-0.01150444;0.00375708;-1.1504;-2.8987;0.002198;***;98216;2.519645;elasticnet;3;full;56;136;PLIV;backlog;190
-0.002324;0.00097;-0.0009329;0.00038955;-0.0933;-0.2324;0.01663;**;143225;2.491282;lasso;3;full;all;146;PLR;none;152
-0.018447;0.010289;-0.0074045;0.00413013;-0.7405;-1.8447;0.073005;*;143225;2.491282;lasso;3;full;all;146;PLIV;backlog;276
0.003929;0.001783;0.00164013;0.00074447;0.164;0.3929;0.027588;**;45009;2.395661;lasso;3;full;55;120;PLR;none;31
0.038859;0.011517;0.0162205;0.00480746;1.6221;3.8859;0.000741;***;45009;2.395661;lasso;3;full;55;120;PLIV;backlog;48
-0.004401;0.00116;-0.00174663;0.00046047;-0.1747;-0.4401;0.000149;***;98216;2.519645;lasso;3;full;56;136;PLR;none;83
-0.029578;0.009456;-0.01173887;0.00375285;-1.1739;-2.9578;0.00176;***;98216;2.519645;lasso;3;full;56;136;PLIV;backlog;186
0.000481;0.000945;0.00019298;0.00037943;0.0193;0.0481;0.611021;;143225;2.491282;rf;3;full;all;146;PLR;none;184
0.011567;0.006319;0.00464295;0.00253635;0.4643;1.1567;0.067165;*;143225;2.491282;rf;3;full;all;146;PLIV;backlog;392
0.006327;0.002152;0.0026412;0.00089828;0.2641;0.6327;0.003279;***;45009;2.395661;rf;3;full;55;120;PLR;none;37
0.019536;0.008056;0.00815457;0.00336295;0.8155;1.9536;0.015316;**;45009;2.395661;rf;3;full;55;120;PLIV;backlog;81
-0.002903;0.001097;-0.00115196;0.00043538;-0.1152;-0.2903;0.008148;***;98216;2.519645;rf;3;full;56;136;PLR;none;122
0.014887;0.008458;0.00590841;0.00335695;0.5908;1.4887;0.078399;*;98216;2.519645;rf;3;full;56;136;PLIV;backlog;307
0.000559;0.000811;0.00022436;0.00032534;0.0224;0.0559;0.490438;;143225;2.491282;xgboost;3;full;all;146;PLR;none;11
-0.001041;0.008085;-0.0004178;0.00324522;-0.0418;-0.1041;0.89756;;143225;2.491282;xgboost;3;full;all;146;PLIV;backlog;23
0.006456;0.001983;0.00269469;0.00082759;0.2695;0.6456;0.00113;***;45009;2.395661;xgboost;3;full;55;120;PLR;none;2
0.008449;0.009193;0.00352691;0.00383733;0.3527;0.8449;0.358041;;45009;2.395661;xgboost;3;full;55;120;PLIV;backlog;6
-0.002078;0.000934;-0.00082487;0.00037065;-0.0825;-0.2078;0.026049;**;98216;2.519645;xgboost;3;full;56;136;PLR;none;6
-0.002208;0.008808;-0.00087625;0.00349563;-0.0876;-0.2208;0.802068;;98216;2.519645;xgboost;3;full;56;136;PLIV;backlog;13
0.00036;0.000807;0.00014466;0.00032391;0.0145;0.036;0.655156;;143225;2.491282;lightgbm;3;full;all;146;PLR;none;7
-0.003303;0.008044;-0.00132572;0.00322901;-0.1326;-0.3303;0.681391;;143225;2.491282;lightgbm;3;full;all;146;PLIV;backlog;14
0.007374;0.001962;0.00307825;0.00081918;0.3078;0.7374;0.000171;***;45009;2.395661;lightgbm;3;full;55;120;PLR;none;3
0.013214;0.009234;0.00551577;0.00385432;0.5516;1.3214;0.152413;;45009;2.395661;lightgbm;3;full;55;120;PLIV;backlog;7
-0.002087;0.000932;-0.00082842;0.00036985;-0.0828;-0.2087;0.0251;**;98216;2.519645;lightgbm;3;full;56;136;PLR;none;5
-0.002878;0.008835;-0.0011423;0.00350631;-0.1142;-0.2878;0.744588;;98216;2.519645;lightgbm;3;full;56;136;PLIV;backlog;10
